0.25m_40deg,0.25m_30deg,0.25m_20deg,0.25m_10deg,0.25m_0deg,0.25m_-10deg,0.25m_-20deg,0.25m_-30deg,0.25m_-40deg,0.5m_-40deg,0.5m_-30deg,0.5m_-20deg,0.5m_-10deg,0.5m_0deg,0.5m_10deg,0.5m_20deg,0.5m_30deg,0.5m_40deg,1m_40deg,1m_30deg,1m_20deg,1m_10deg,1m_0deg,1m_-10deg,1m_-20deg,1m_-30deg,1m_-40deg,2m_-40deg,2m_-30deg,2m_-20deg,2m_-10deg,2m_0deg,2m_10deg,2m_20deg,2m_30deg,2m_40deg
5.65,0.32,0.29,0.29,0.26,0.26,0.31,0.34,5.68,5.69,0.61,0.55,0.61,0.59,0.55,0.62,0.62,0.59,5.64,1.19,1.16,1.15,1.16,1.17,1.16,1.18,5.63,5.63,2.34,2.31,2.3,2.31,2.3,2.31,2.39,5.68
5.68,0.32,0.27,0.29,0.29,0.29,0.31,0.34,5.68,5.69,0.56,0.55,0.62,0.56,0.59,0.61,0.57,0.59,5.68,1.23,1.17,1.1,1.15,1.2,1.16,1.18,5.68,5.65,2.33,2.3,2.3,2.34,2.3,2.31,2.34,5.64
5.63,0.32,0.27,0.26,0.26,0.29,0.28,0.3,5.64,5.69,0.62,0.6,0.57,0.59,0.55,0.61,0.57,0.63,5.68,1.18,1.16,1.15,1.15,1.15,1.16,1.18,5.66,5.65,2.33,2.32,2.31,2.27,2.31,2.32,2.34,5.64
5.66,0.32,0.31,0.29,0.29,0.29,0.28,0.3,5.68,5.64,0.62,0.6,0.59,0.55,0.59,0.56,0.52,0.63,5.68,1.18,1.16,1.15,1.16,1.15,1.16,1.18,5.68,5.69,2.34,2.32,2.31,2.31,2.35,2.32,2.34,5.66
5.63,0.32,0.28,0.29,0.29,0.29,0.31,0.3,5.64,5.63,0.57,0.55,0.59,0.55,0.59,0.56,0.62,0.63,5.66,1.22,1.17,1.15,1.15,1.1,1.21,1.19,5.68,5.7,2.33,2.27,2.3,2.31,2.27,2.32,2.35,5.65
5.69,0.32,0.31,0.29,0.29,0.26,0.27,0.34,5.66,5.65,0.58,0.55,0.55,0.55,0.59,0.61,0.62,0.59,5.66,1.23,1.16,1.15,1.2,1.15,1.17,1.22,5.7,5.65,2.34,2.36,2.31,2.31,2.31,2.32,2.36,5.68
5.65,0.32,0.31,0.29,0.29,0.29,0.3,0.34,5.69,5.66,0.62,0.6,0.59,0.56,0.56,0.56,0.58,0.58,5.65,1.23,1.16,1.17,1.19,1.16,1.17,1.18,5.65,5.64,2.34,2.36,2.31,2.29,2.31,2.32,2.34,5.68
5.66,0.32,0.31,0.29,0.29,0.29,0.3,0.3,5.69,5.64,0.56,0.6,0.56,0.59,0.5,0.62,0.57,0.64,5.69,1.18,1.16,1.15,1.15,1.15,1.16,1.18,5.68,5.69,2.33,2.31,2.31,2.29,2.31,2.32,2.34,5.68
5.66,0.32,0.31,0.29,0.29,0.29,0.3,0.34,5.64,5.68,0.61,0.55,0.55,0.55,0.55,0.62,0.57,0.59,5.65,1.18,1.16,1.1,1.15,1.15,1.11,1.14,5.68,5.68,2.34,2.36,2.31,2.34,2.3,2.32,2.34,5.66
5.68,0.32,0.31,0.29,0.29,0.26,0.3,0.3,5.65,5.68,0.56,0.6,0.56,0.59,0.55,0.57,0.57,0.63,5.68,1.23,1.17,1.15,1.15,1.2,1.21,1.19,5.7,5.69,2.34,2.31,2.31,2.31,2.31,2.32,2.39,5.65
5.65,0.32,0.3,0.29,0.29,0.29,0.31,0.34,5.63,5.68,0.62,0.6,0.59,0.55,0.59,0.52,0.61,0.63,5.7,1.23,1.16,1.15,1.19,1.15,1.16,1.18,5.68,5.69,2.33,2.36,2.35,2.31,2.31,2.36,2.34,5.63
5.68,0.32,0.27,0.29,0.26,0.29,0.28,0.34,5.68,5.69,0.62,0.55,0.52,0.55,0.59,0.61,0.61,0.63,5.68,1.18,1.16,1.16,1.16,1.1,1.16,1.23,5.68,5.68,2.38,2.32,2.35,2.31,2.35,2.32,2.38,5.69
5.64,0.32,0.27,0.29,0.29,0.29,0.31,0.34,5.68,5.69,0.62,0.6,0.52,0.59,0.59,0.62,0.57,0.63,5.68,1.18,1.16,1.15,1.15,1.15,1.21,1.18,5.66,5.65,2.38,2.36,2.3,2.31,2.31,2.31,2.34,5.65
5.65,0.28,0.3,0.29,0.29,0.29,0.28,0.3,5.65,5.69,0.62,0.6,0.56,0.59,0.55,0.62,0.57,0.59,5.68,1.18,1.16,1.15,1.19,1.15,1.21,1.18,5.68,5.65,2.33,2.32,2.31,2.34,2.31,2.31,2.39,5.65
5.68,0.32,0.3,0.29,0.29,0.29,0.28,0.3,5.63,5.68,0.52,0.55,0.56,0.56,0.56,0.62,0.57,0.58,5.68,1.23,1.16,1.15,1.15,1.15,1.16,1.18,5.7,5.68,2.34,2.32,2.31,2.31,2.35,2.27,2.35,5.65
5.65,0.32,0.3,0.29,0.29,0.29,0.28,0.3,5.69,5.68,0.52,0.6,0.61,0.59,0.59,0.61,0.62,0.63,5.68,1.18,1.16,1.15,1.15,1.15,1.16,1.18,5.66,5.7,2.34,2.32,2.31,2.31,2.29,2.32,2.34,5.68
5.66,0.32,0.31,0.29,0.29,0.29,0.31,0.34,5.68,5.68,0.56,0.55,0.61,0.55,0.59,0.56,0.62,0.63,5.64,1.14,1.21,1.15,1.15,1.15,1.16,1.18,5.65,5.65,2.38,2.32,2.27,2.34,2.31,2.27,2.29,5.66
5.65,0.28,0.31,0.26,0.29,0.26,0.28,0.34,5.64,5.63,0.62,0.6,0.55,0.5,0.59,0.61,0.62,0.63,5.68,1.23,1.17,1.15,1.16,1.1,1.16,1.18,5.68,5.68,2.34,2.31,2.32,2.31,2.26,2.32,2.34,5.68
5.69,0.32,0.28,0.29,0.29,0.29,0.28,0.34,5.66,5.68,0.58,0.6,0.59,0.5,0.59,0.61,0.57,0.63,5.66,1.23,1.16,1.15,1.15,1.16,1.17,1.19,5.65,5.68,2.34,2.32,2.27,2.34,2.35,2.31,2.34,5.68
5.68,0.32,0.31,0.29,0.29,0.29,0.31,0.34,5.64,5.66,0.62,0.55,0.59,0.55,0.59,0.61,0.62,0.58,5.68,1.18,1.16,1.15,1.15,1.15,1.17,1.18,5.68,5.65,2.33,2.32,2.31,2.29,2.35,2.32,2.34,5.68
5.66,0.32,0.31,0.29,0.29,0.29,0.28,0.34,5.69,5.68,0.62,0.6,0.62,0.55,0.59,0.61,0.62,0.63,5.69,1.18,1.16,1.15,1.2,1.2,1.16,1.23,5.68,5.7,2.34,2.32,2.31,2.31,2.31,2.32,2.34,5.69
5.66,0.32,0.28,0.29,0.29,0.29,0.28,0.3,5.65,5.64,0.62,0.6,0.62,0.59,0.59,0.61,0.57,0.58,5.65,1.19,1.21,1.15,1.2,1.2,1.16,1.18,5.68,5.68,2.38,2.27,2.31,2.31,2.3,2.36,2.39,5.66
5.69,0.32,0.28,0.29,0.29,0.29,0.3,0.3,5.68,5.68,0.61,0.51,0.62,0.55,0.55,0.56,0.61,0.58,5.68,1.23,1.17,1.15,1.2,1.15,1.16,1.23,5.7,5.7,2.34,2.32,2.3,2.31,2.3,2.31,2.39,5.68
5.68,0.32,0.31,0.29,0.29,0.26,0.27,0.3,5.68,5.68,0.57,0.6,0.56,0.55,0.55,0.58,0.57,0.59,5.68,1.18,1.16,1.15,1.15,1.15,1.16,1.18,5.65,5.69,2.33,2.32,2.3,2.34,2.31,2.28,2.39,5.64
5.64,0.32,0.31,0.29,0.29,0.26,0.27,0.34,5.65,5.69,0.62,0.55,0.59,0.59,0.55,0.57,0.62,0.63,5.68,1.18,1.16,1.16,1.2,1.15,1.16,1.18,5.65,5.69,2.34,2.36,2.35,2.29,2.3,2.31,2.34,5.66
5.63,0.32,0.3,0.29,0.29,0.29,0.3,0.34,5.68,5.64,0.61,0.6,0.56,0.59,0.59,0.61,0.62,0.54,5.65,1.18,1.21,1.15,1.15,1.16,1.21,1.18,5.7,5.63,2.29,2.32,2.27,2.31,2.31,2.32,2.35,5.65
5.68,0.32,0.3,0.29,0.29,0.29,0.27,0.34,5.64,5.68,0.57,0.6,0.55,0.59,0.59,0.56,0.62,0.59,5.69,1.14,1.11,1.15,1.15,1.15,1.16,1.19,5.68,5.68,2.34,2.32,2.3,2.34,2.31,2.32,2.34,5.68
5.64,0.32,0.27,0.29,0.29,0.29,0.28,0.34,5.68,5.68,0.61,0.6,0.59,0.59,0.56,0.56,0.62,0.59,5.68,1.18,1.17,1.15,1.19,1.15,1.21,1.23,5.7,5.68,2.38,2.3,2.32,2.29,2.35,2.31,2.35,5.68
5.63,0.32,0.27,0.26,0.29,0.29,0.31,0.3,5.68,5.69,0.56,0.55,0.55,0.59,0.59,0.56,0.57,0.63,5.65,1.18,1.21,1.15,1.1,1.15,1.21,1.18,5.68,5.66,2.38,2.32,2.27,2.31,2.3,2.32,2.34,5.68
5.66,0.32,0.3,0.29,0.29,0.29,0.28,0.34,5.68,5.68,0.56,0.6,0.59,0.59,0.59,0.62,0.62,0.63,5.68,1.17,1.21,1.1,1.15,1.2,1.16,1.18,5.65,5.68,2.38,2.3,2.32,2.31,2.3,2.32,2.39,5.66
5.63,0.32,0.3,0.29,0.29,0.29,0.28,0.34,5.68,5.64,0.62,0.6,0.59,0.55,0.55,0.52,0.57,0.59,5.69,1.18,1.17,1.2,1.15,1.15,1.21,1.18,5.65,5.65,2.34,2.32,2.31,2.31,2.3,2.32,2.34,5.68
5.7,0.32,0.31,0.29,0.29,0.29,0.28,0.34,5.65,5.66,0.58,0.55,0.59,0.59,0.59,0.61,0.57,0.63,5.66,1.18,1.16,1.1,1.16,1.16,1.17,1.19,5.63,5.68,2.33,2.32,2.32,2.31,2.31,2.32,2.35,5.69
5.68,0.32,0.28,0.29,0.29,0.29,0.31,0.34,5.69,5.66,0.62,0.6,0.52,0.59,0.59,0.56,0.61,0.63,5.63,1.18,1.16,1.15,1.15,1.15,1.17,1.18,5.7,5.65,2.33,2.32,2.3,2.31,2.3,2.32,2.34,5.65
5.69,0.32,0.31,0.29,0.29,0.26,0.27,0.34,5.69,5.64,0.61,0.6,0.62,0.55,0.59,0.56,0.57,0.63,5.69,1.18,1.16,1.15,1.2,1.15,1.16,1.23,5.65,5.68,2.33,2.32,2.31,2.29,2.31,2.31,2.35,5.68
5.66,0.32,0.31,0.29,0.29,0.29,0.3,0.3,5.63,5.69,0.62,0.55,0.61,0.59,0.59,0.62,0.52,0.63,5.64,1.19,1.16,1.1,1.15,1.15,1.16,1.18,5.65,5.7,2.34,2.32,2.3,2.35,2.31,2.36,2.39,5.66
5.69,0.32,0.31,0.29,0.26,0.29,0.28,0.34,5.68,5.64,0.57,0.51,0.59,0.59,0.55,0.57,0.52,0.63,5.68,1.18,1.17,1.15,1.15,1.15,1.17,1.23,5.68,5.68,2.34,2.32,2.31,2.31,2.3,2.31,2.34,5.65
5.63,0.28,0.31,0.29,0.29,0.29,0.31,0.34,5.68,5.68,0.52,0.6,0.55,0.59,0.59,0.61,0.57,0.59,5.68,1.23,1.16,1.15,1.16,1.15,1.16,1.18,5.68,5.7,2.34,2.32,2.35,2.34,2.3,2.31,2.34,5.68
5.66,0.32,0.28,0.29,0.29,0.29,0.28,0.34,5.65,5.69,0.52,0.51,0.59,0.55,0.59,0.61,0.62,0.54,5.68,1.18,1.16,1.16,1.15,1.15,1.16,1.18,5.65,5.69,2.33,2.36,2.3,2.26,2.3,2.32,2.39,5.64
5.65,0.32,0.31,0.29,0.29,0.29,0.28,0.3,5.68,5.69,0.62,0.55,0.59,0.59,0.59,0.52,0.62,0.58,5.69,1.18,1.16,1.1,1.2,1.15,1.21,1.18,5.68,5.68,2.33,2.36,2.31,2.26,2.27,2.32,2.34,5.68
5.68,0.32,0.31,0.29,0.29,0.29,0.28,0.34,5.68,5.68,0.57,0.55,0.59,0.55,0.59,0.57,0.61,0.63,5.68,1.19,1.11,1.15,1.15,1.15,1.16,1.19,5.7,5.68,2.33,2.32,2.3,2.34,2.31,2.32,2.39,5.68
5.68,0.32,0.28,0.29,0.29,0.29,0.28,0.3,5.64,5.68,0.62,0.6,0.55,0.59,0.59,0.57,0.62,0.63,5.69,1.22,1.17,1.15,1.2,1.15,1.21,1.13,5.68,5.66,2.32,2.32,2.31,2.34,2.31,2.31,2.34,5.68
5.68,0.32,0.27,0.26,0.29,0.26,0.31,0.3,5.69,5.68,0.57,0.6,0.55,0.55,0.55,0.56,0.57,0.59,5.65,1.18,1.11,1.15,1.15,1.15,1.16,1.19,5.65,5.66,2.33,2.32,2.31,2.26,2.27,2.32,2.34,5.68
5.66,0.32,0.27,0.29,0.29,0.29,0.28,0.3,5.69,5.68,0.56,0.6,0.56,0.55,0.59,0.61,0.62,0.54,5.68,1.18,1.21,1.15,1.15,1.15,1.16,1.14,5.68,5.7,2.34,2.32,2.3,2.31,2.35,2.31,2.35,5.66
5.63,0.32,0.27,0.29,0.29,0.29,0.31,0.34,5.64,5.68,0.62,0.6,0.59,0.5,0.59,0.56,0.57,0.59,5.66,1.18,1.17,1.15,1.15,1.15,1.16,1.14,5.68,5.7,2.34,2.36,2.31,2.31,2.31,2.32,2.34,5.68
5.69,0.32,0.27,0.29,0.29,0.26,0.31,0.34,5.65,5.65,0.58,0.55,0.59,0.59,0.55,0.61,0.57,0.63,5.65,1.18,1.16,1.15,1.15,1.1,1.17,1.19,5.64,5.65,2.34,2.36,2.3,2.31,2.31,2.36,2.35,5.69
5.68,0.32,0.31,0.26,0.29,0.29,0.31,0.34,5.64,5.65,0.57,0.6,0.56,0.55,0.56,0.62,0.58,0.63,5.65,1.18,1.16,1.15,1.2,1.15,1.17,1.19,5.68,5.65,2.34,2.27,2.32,2.29,2.31,2.32,2.34,5.68
5.66,0.32,0.31,0.26,0.29,0.26,0.28,0.34,5.69,5.69,0.56,0.6,0.62,0.59,0.59,0.52,0.57,0.63,5.68,1.18,1.16,1.15,1.15,1.15,1.16,1.18,5.68,5.68,2.33,2.3,2.31,2.29,2.31,2.31,2.35,5.68
5.66,0.32,0.31,0.29,0.29,0.29,0.28,0.34,5.66,5.69,0.56,0.55,0.5,0.59,0.59,0.62,0.52,0.58,5.65,1.19,1.16,1.15,1.15,1.15,1.16,1.19,5.63,5.68,2.33,2.32,2.31,2.31,2.35,2.36,2.35,5.65
5.68,0.32,0.31,0.29,0.29,0.26,0.31,0.3,5.64,5.68,0.56,0.6,0.5,0.59,0.59,0.61,0.57,0.58,5.68,1.18,1.21,1.15,1.15,1.15,1.17,1.19,5.64,5.7,2.33,2.36,2.3,2.34,2.3,2.32,2.39,5.69
5.68,0.32,0.31,0.29,0.29,0.29,0.28,0.34,5.68,5.64,0.62,0.55,0.57,0.5,0.59,0.62,0.57,0.63,5.69,1.18,1.21,1.15,1.15,1.15,1.16,1.14,5.68,5.7,2.33,2.36,2.35,2.34,2.27,2.36,2.34,5.68
5.7,0.32,0.31,0.29,0.29,0.29,0.28,0.3,5.69,5.68,0.62,0.55,0.55,0.59,0.55,0.61,0.62,0.59,5.69,1.18,1.21,1.17,1.2,1.16,1.11,1.23,5.68,5.68,2.38,2.32,2.35,2.29,2.35,2.31,2.34,5.68
5.7,0.32,0.31,0.29,0.29,0.29,0.31,0.34,5.68,5.69,0.57,0.6,0.55,0.55,0.59,0.62,0.62,0.63,5.64,1.18,1.21,1.15,1.15,1.15,1.21,1.18,5.69,5.68,2.34,2.35,2.3,2.29,2.31,2.31,2.35,5.65
5.65,0.32,0.31,0.29,0.26,0.26,0.28,0.34,5.64,5.65,0.62,0.55,0.59,0.55,0.59,0.57,0.62,0.64,5.68,1.18,1.16,1.2,1.15,1.16,1.21,1.19,5.68,5.68,2.34,2.32,2.3,2.31,2.31,2.31,2.39,5.65
5.68,0.32,0.31,0.29,0.26,0.29,0.28,0.34,5.68,5.64,0.62,0.6,0.55,0.55,0.59,0.56,0.61,0.59,5.7,1.18,1.17,1.15,1.15,1.15,1.16,1.23,5.68,5.66,2.38,2.32,2.32,2.31,2.31,2.32,2.35,5.7
5.68,0.32,0.28,0.29,0.29,0.29,0.28,0.3,5.68,5.68,0.56,0.6,0.62,0.59,0.59,0.58,0.62,0.63,5.65,1.18,1.21,1.2,1.15,1.15,1.16,1.18,5.63,5.65,2.33,2.31,2.32,2.29,2.27,2.31,2.34,5.68
5.66,0.32,0.3,0.26,0.29,0.29,0.28,0.34,5.68,5.68,0.62,0.55,0.56,0.55,0.55,0.56,0.62,0.59,5.65,1.18,1.16,1.15,1.15,1.2,1.16,1.18,5.65,5.69,2.33,2.31,2.31,2.34,2.31,2.32,2.39,5.66
5.68,0.32,0.27,0.29,0.26,0.29,0.28,0.34,5.68,5.68,0.52,0.6,0.57,0.5,0.5,0.57,0.61,0.58,5.66,1.18,1.16,1.15,1.2,1.15,1.16,1.18,5.68,5.68,2.33,2.35,2.31,2.31,2.27,2.32,2.34,5.68
5.68,0.32,0.27,0.29,0.29,0.29,0.31,0.34,5.66,5.69,0.58,0.55,0.62,0.55,0.59,0.61,0.62,0.63,5.68,1.19,1.16,1.2,1.1,1.16,1.17,1.19,5.68,5.68,2.33,2.3,2.3,2.31,2.31,2.36,2.35,5.68
5.63,0.32,0.3,0.29,0.29,0.29,0.28,0.3,5.65,5.66,0.62,0.51,0.56,0.55,0.55,0.62,0.62,0.63,5.64,1.18,1.11,1.15,1.2,1.15,1.17,1.18,5.69,5.68,2.33,2.35,2.31,2.31,2.31,2.31,2.34,5.63
5.66,0.32,0.27,0.29,0.29,0.29,0.31,0.34,5.65,5.63,0.57,0.55,0.59,0.59,0.59,0.57,0.57,0.63,5.64,1.18,1.17,1.15,1.16,1.21,1.16,1.23,5.64,5.69,2.33,2.32,2.31,2.31,2.31,2.32,2.34,5.66
5.66,0.32,0.31,0.29,0.29,0.29,0.28,0.3,5.69,5.69,0.62,0.6,0.59,0.55,0.59,0.56,0.62,0.59,5.63,1.19,1.16,1.15,1.15,1.1,1.16,1.18,5.68,5.68,2.38,2.36,2.32,2.34,2.31,2.36,2.39,5.66
5.65,0.32,0.31,0.29,0.26,0.29,0.28,0.34,5.7,5.68,0.57,0.6,0.55,0.59,0.59,0.61,0.62,0.63,5.65,1.22,1.21,1.2,1.15,1.15,1.17,1.23,5.68,5.68,2.34,2.32,2.31,2.31,2.3,2.31,2.34,5.65
5.63,0.32,0.28,0.29,0.29,0.29,0.31,0.34,5.68,5.68,0.62,0.6,0.59,0.59,0.59,0.5,0.57,0.64,5.68,1.23,1.16,1.1,1.16,1.15,1.16,1.18,5.69,5.68,2.34,2.32,2.32,2.31,2.3,2.32,2.34,5.65
5.7,0.32,0.28,0.26,0.29,0.29,0.31,0.34,5.66,5.68,0.62,0.6,0.56,0.55,0.59,0.57,0.62,0.63,5.69,1.18,1.16,1.17,1.15,1.15,1.11,1.23,5.68,5.68,2.33,2.36,2.35,2.3,2.31,2.32,2.34,5.68
