0.25m_40deg,0.25m_30deg,0.25m_20deg,0.25m_10deg,0.25m_0deg,0.25m_-10deg,0.25m_-20deg,0.25m_-30deg,0.25m_-40deg,0.5m_-40deg,0.5m_-30deg,0.5m_-20deg,0.5m_-10deg,0.5m_0deg,0.5m_10deg,0.5m_20deg,0.5m_30deg,0.5m_40deg,1m_40deg,1m_30deg,1m_20deg,1m_10deg,1m_0deg,1m_-10deg,1m_-20deg,1m_-30deg,1m_-40deg,2m_-40deg,2m_-30deg,2m_-20deg,2m_-10deg,2m_0deg,2m_10deg,2m_20deg,2m_30deg,2m_40deg
0.386,0.371,0.359,0.364,0.365,0.367,0.366,0.361,0.401,0.661,0.69,0.687,0.683,0.682,0.654,0.688,0.689,0.697,1.298,1.33,1.321,1.315,1.221,1.17,1.318,1.325,1.33,1.994,4.716,2.579,2.226,2.578,2.153,2.588,2.878,2.819
0.385,0.333,0.37,0.366,0.366,0.365,0.372,0.362,0.363,0.687,0.666,0.685,0.681,0.622,0.683,0.687,0.689,0.697,1.334,1.143,1.206,1.162,1.07,1.316,1.233,1.063,1.33,2.539,4.427,2.507,2.578,2.26,2.58,2.589,3.305,3.275
0.386,0.371,0.369,0.355,0.365,0.367,0.371,0.362,0.403,0.685,0.691,0.685,0.683,0.684,0.68,0.688,0.691,0.698,1.12,1.329,1.32,1.313,1.314,1.317,1.318,1.325,1.288,2.986,4.779,2.097,2.579,2.579,2.393,2.589,3.301,3.019
0.305,0.369,0.37,0.366,0.365,0.365,0.372,0.362,0.401,0.687,0.689,0.686,0.653,0.682,0.683,0.673,0.692,0.697,1.292,1.329,1.32,1.316,1.284,1.317,1.317,1.036,1.155,3.06,4.428,2.542,2.578,2.31,2.065,2.304,3.103,3.046
0.386,0.371,0.37,0.364,0.366,0.367,0.364,0.362,0.313,0.574,0.689,0.66,0.683,0.683,0.677,0.688,0.583,0.698,1.334,1.313,1.146,1.316,1.314,1.234,1.124,1.324,1.33,2.742,4.54,2.579,2.578,2.579,2.58,2.437,3.301,2.928
0.385,0.371,0.368,0.366,0.364,0.348,0.372,0.36,0.403,0.687,0.689,0.687,0.683,0.659,0.672,0.686,0.692,0.578,1.334,1.329,1.318,1.187,1.314,1.226,1.318,1.325,1.33,3.06,4.428,2.293,2.578,2.579,2.1,2.589,3.139,3.021
0.386,0.371,0.287,0.366,0.366,0.367,0.372,0.362,0.403,0.583,0.689,0.685,0.681,0.533,0.683,0.687,0.604,0.543,1.335,1.329,1.32,1.315,1.316,1.276,1.318,1.118,1.328,3.059,4.428,2.45,2.293,2.578,2.26,2.303,3.302,3.276
0.386,0.371,0.368,0.366,0.364,0.367,0.372,0.36,0.403,0.687,0.689,0.687,0.683,0.682,0.682,0.681,0.537,0.697,1.336,1.199,1.274,1.315,1.316,1.155,1.309,1.11,1.33,2.775,4.452,2.295,2.284,2.578,2.132,2.589,3.302,2.735
0.386,0.371,0.37,0.366,0.365,0.367,0.372,0.362,0.403,0.685,0.689,0.618,0.682,0.573,0.683,0.54,0.689,0.699,1.336,1.07,1.32,1.315,1.191,1.313,1.316,1.325,1.33,2.777,4.899,2.19,2.292,2.274,2.008,2.587,3.304,3.023
0.385,0.371,0.368,0.366,0.366,0.367,0.372,0.36,0.404,0.687,0.689,0.686,0.683,0.683,0.681,0.681,0.69,0.597,1.335,1.329,1.32,1.184,1.316,1.315,1.316,1.141,1.33,2.984,2.541,2.06,2.578,2.578,2.579,2.586,3.303,2.926
