2m_40deg,2m_30deg,2m_20deg,2m_10deg,2m_0deg,2m_-10deg,2m_-20deg,2m_-30deg,2m_-40deg,1m_-40deg,1m_-30deg,1m_-20deg,1m_-10deg,1m_0deg,1m_10deg,1m_20deg,1m_30deg,1m_40deg,0.5m_40deg,0.5m_30deg,0.5m_20deg,0.5m_10deg,0.5m_0deg,0.5m_-10deg,0.5m_-20deg,0.5m_-30deg,0.5m_-40deg,0.25m_-40deg,0.25m_-30deg,0.25m_-20deg,0.25m_-10deg,0.25m_0deg,0.25m_10deg,0.25m_20deg,0.25m_30deg,0.25m_40deg
2.311,2.602,2.595,2.152,2.302,2.52,2.42,2.586,2.306,1.347,1.111,1.104,1.3,1.335,1.073,1.341,1.347,1.255,0.685,0.685,0.585,0.677,0.673,0.674,0.562,0.603,0.641,1.392,0.356,0.361,0.354,0.356,0.357,0.363,0.377,0.875
2.138,2.602,2.59,2.564,2.588,2.588,2.309,2.321,2.54,1.347,1.343,1.248,1.335,1.131,1.339,1.132,1.346,1.286,0.686,0.683,0.683,0.676,0.675,0.676,0.68,0.683,0.685,1.391,0.358,0.359,0.354,0.354,0.357,0.362,0.293,1.013
2.251,2.464,2.594,2.124,2.587,2.587,2.594,2.301,2.289,1.157,1.343,1.104,1.289,1.28,1.056,1.342,1.347,1.356,0.685,0.685,0.683,0.677,0.567,0.641,0.61,0.681,0.684,1.218,0.358,0.361,0.354,0.355,0.357,0.363,0.377,1.01
2.605,2.317,2.555,2.59,2.412,2.079,2.309,2.586,2.253,1.347,1.343,1.251,1.335,1.335,1.338,1.341,1.348,1.357,0.686,0.684,0.683,0.626,0.675,0.676,0.68,0.683,0.685,1.391,0.358,0.327,0.354,0.354,0.357,0.362,0.376,0.817
2.473,2.603,2.113,2.59,2.544,2.588,2.309,2.39,2.54,1.347,1.079,1.341,1.335,1.335,1.338,1.316,1.229,1.356,0.685,0.685,0.683,0.677,0.625,0.674,0.679,0.682,0.684,1.391,0.358,0.361,0.352,0.356,0.357,0.363,0.377,0.988
2.575,2.39,2.594,2.59,2.5,2.587,2.596,2.586,2.411,1.347,1.216,1.342,1.335,1.335,1.338,1.342,1.348,1.356,0.545,0.684,0.683,0.642,0.675,0.671,0.68,0.683,0.685,1.39,0.357,0.361,0.354,0.355,0.357,0.363,0.356,1.008
2.395,2.318,2.536,2.59,2.362,2.501,2.311,2.587,2.54,1.105,1.317,1.342,1.276,1.335,1.304,1.341,1.348,1.357,0.686,0.685,0.682,0.677,0.673,0.677,0.646,0.682,0.684,1.39,0.358,0.361,0.339,0.356,0.355,0.363,0.377,1.011
2.501,2.604,2.486,2.477,2.514,2.36,2.595,2.587,2.539,1.238,1.343,1.341,1.335,1.335,1.338,1.341,1.103,1.357,0.685,0.685,0.683,0.668,0.674,0.676,0.68,0.683,0.687,1.389,0.358,0.361,0.354,0.355,0.357,0.363,0.377,1.011
2.603,2.561,2.594,2.589,2.502,2.505,2.596,2.587,2.522,1.347,1.329,1.342,1.268,1.106,1.338,1.341,1.348,1.332,0.686,0.685,0.585,0.675,0.6,0.677,0.664,0.682,0.684,1.39,0.358,0.359,0.354,0.354,0.339,0.362,0.377,1.011
2.437,2.602,2.164,2.589,2.301,2.301,2.596,2.586,2.538,1.212,1.343,1.342,1.121,1.335,1.243,1.342,1.347,1.357,0.651,0.533,0.683,0.677,0.674,0.676,0.679,0.683,0.684,1.39,0.358,0.361,0.355,0.356,0.357,0.363,0.377,1.013
2.55,2.488,2.568,2.294,2.586,2.225,2.596,2.054,2.513,1.345,1.342,1.279,1.336,1.335,1.338,1.339,1.273,1.355,0.686,0.588,0.682,0.676,0.613,0.677,0.681,0.681,0.685,1.263,0.356,0.359,0.355,0.354,0.326,0.362,0.306,1.013
2.381,2.317,2.111,2.461,2.301,2.587,2.595,2.585,2.538,1.348,1.343,1.135,1.112,1.254,1.12,1.341,1.347,1.356,0.686,0.685,0.683,0.677,0.675,0.573,0.547,0.683,0.685,1.121,0.358,0.361,0.354,0.355,0.277,0.363,0.377,1.016
2.213,2.411,2.38,2.304,2.587,2.302,2.595,2.055,2.54,1.347,1.343,1.109,1.335,1.118,1.253,1.34,1.348,1.358,0.685,0.685,0.681,0.676,0.629,0.677,0.529,0.635,0.686,1.253,0.356,0.361,0.354,0.356,0.315,0.362,0.376,0.919
2.606,2.391,2.595,2.303,2.587,2.369,2.594,2.301,2.342,1.346,1.343,1.341,1.335,1.262,1.339,1.341,1.157,1.356,0.686,0.534,0.683,0.677,0.674,0.676,0.679,0.683,0.685,1.39,0.358,0.361,0.353,0.355,0.357,0.363,0.377,0.8
2.455,2.316,2.464,2.589,2.302,2.514,2.595,2.301,2.192,1.346,1.343,1.276,1.336,1.335,1.338,1.054,1.307,1.108,0.685,0.646,0.681,0.605,0.673,0.677,0.68,0.631,0.687,1.392,0.358,0.36,0.354,0.356,0.328,0.363,0.376,1.015
2.287,2.603,2.309,2.589,2.302,2.089,2.594,2.586,2.539,1.3,1.343,1.341,1.335,1.106,1.068,1.341,1.17,1.358,0.685,0.686,0.683,0.677,0.675,0.592,0.578,0.683,0.637,1.104,0.358,0.359,0.353,0.282,0.357,0.363,0.377,1.014
2.116,2.284,2.595,2.304,2.3,2.586,2.517,2.31,2.333,1.14,1.342,1.342,1.336,1.335,1.339,1.341,1.347,1.279,0.683,0.563,0.682,0.676,0.673,0.527,0.68,0.682,0.687,1.245,0.358,0.361,0.354,0.356,0.298,0.363,0.376,1.016
2.605,2.316,2.372,2.588,2.3,2.378,2.594,2.441,2.318,1.345,1.343,1.341,1.326,1.335,1.337,1.341,1.189,1.356,0.684,0.685,0.683,0.677,0.663,0.605,0.616,0.683,0.685,1.389,0.356,0.36,0.354,0.354,0.357,0.293,0.376,1.016
2.573,2.406,2.071,2.49,2.586,2.518,2.593,2.303,2.539,1.345,1.342,1.109,1.177,1.13,1.338,1.341,1.346,1.356,0.685,0.667,0.682,0.675,0.525,0.677,0.68,0.634,0.687,1.39,0.358,0.36,0.354,0.355,0.355,0.363,0.376,0.796
