0.25m_40deg,0.25m_30deg,0.25m_20deg,0.25m_10deg,0.25m_0deg,0.25m_-10deg,0.25m_-20deg,0.25m_-30deg,0.25m_-40deg,0.5m_-40deg,0.5m_-30deg,0.5m_-20deg,0.5m_-10deg,0.5m_0deg,0.5m_10deg,0.5m_20deg,0.5m_30deg,0.5m_40deg,1m_40deg,1m_30deg,1m_20deg,1m_10deg,1m_0deg,1m_-10deg,1m_-20deg,1m_-30deg,1m_-40deg,2m_-40deg,2m_-30deg,2m_-20deg,2m_-10deg,2m_0deg,2m_10deg,2m_20deg,2m_30deg,2m_40deg
0.877,0.968,0.295,0.298,0.299,0.299,0.298,0.297,1.303,2.307,0.592,0.594,0.59,0.589,0.59,0.594,0.596,3.034,2.969,1.263,1.252,1.01,1.247,1.248,1.255,1.26,2.302,2.48,2.222,2.45,2.497,2.496,2.499,2.496,2.973,2.918
0.877,0.968,0.296,0.299,0.299,0.233,0.298,0.297,1.302,1.969,0.594,0.592,0.592,0.59,0.589,0.593,0.559,3.29,2.83,1.226,1.253,1.248,1.247,1.248,1.255,1.26,2.483,2.483,2.372,2.302,2.497,2.41,2.477,2.498,3.301,3.072
0.774,0.965,0.296,0.299,0.298,0.299,0.298,0.297,1.302,2.308,0.566,0.594,0.59,0.589,0.59,0.594,0.596,3.075,3.293,1.263,1.252,1.039,1.247,1.248,0.983,1.26,2.483,2.483,2.2,2.504,2.48,2.44,2.498,2.498,2.973,3.221
0.76,0.964,0.297,0.299,0.298,0.233,0.298,0.297,1.304,2.484,0.594,0.593,0.592,0.59,0.59,0.553,0.59,3.004,3.296,1.118,1.253,1.19,1.247,1.248,1.255,1.261,2.217,2.482,2.2,2.308,2.498,2.211,2.499,2.064,3.048,3.3
0.955,2.743,0.296,0.299,0.298,0.299,0.232,0.295,1.303,2.483,0.594,0.594,0.59,0.589,0.488,0.594,0.462,3.006,3.008,1.263,1.13,1.068,1.247,1.248,1.255,1.26,2.377,2.416,2.485,2.28,2.497,2.323,2.447,2.221,3.249,3.237
0.956,3.134,0.295,0.299,0.297,0.299,0.298,0.297,1.167,1.971,0.593,0.592,0.591,0.59,0.59,0.593,0.595,2.719,3.293,1.263,0.998,1.231,1.247,1.112,1.049,1.262,2.483,2.481,2.485,2.505,2.498,2.498,2.323,2.214,3.302,3.301
0.955,3.297,0.297,0.299,0.298,0.253,0.298,0.296,1.049,2.198,0.594,0.594,0.484,0.589,0.589,0.594,0.56,2.19,3.294,1.262,1.076,1.248,1.247,1.248,1.255,1.12,2.412,2.481,2.201,2.504,2.498,2.497,2.213,2.253,2.729,2.729
0.951,3.227,0.295,0.299,0.254,0.299,0.298,0.297,1.305,1.981,0.592,0.558,0.46,0.59,0.459,0.594,0.595,3.293,3.132,1.263,1.252,1.249,1.078,1.075,1.256,1.261,2.484,2.201,2.485,2.035,2.115,2.49,2.214,2.5,2.831,3.301
0.949,3.295,0.297,0.299,0.298,0.295,0.238,0.253,1.306,2.128,0.593,0.594,0.59,0.588,0.589,0.593,0.594,3.172,2.761,1.262,1.253,1.249,1.232,1.248,1.068,1.262,2.483,2.362,2.198,2.218,2.501,2.498,2.498,2.293,3.259,2.729
0.732,2.985,0.296,0.298,0.298,0.299,0.298,0.297,1.305,2.198,0.591,0.593,0.592,0.59,0.59,0.462,0.595,3.293,3.202,1.262,1.252,1.248,1.099,1.249,1.255,1.261,2.303,2.481,2.484,2.219,2.503,2.498,2.396,2.217,3.048,3.301
0.784,2.722,0.296,0.299,0.298,0.299,0.297,0.297,1.305,2.484,0.593,0.594,0.59,0.589,0.59,0.592,0.556,3.29,3.007,1.045,1.253,1.151,1.249,1.248,1.11,1.201,2.484,2.285,2.294,2.22,2.294,2.416,2.497,2.329,3.246,3.014
0.928,2.747,0.296,0.298,0.232,0.3,0.298,0.298,1.291,2.483,0.552,0.589,0.59,0.59,0.589,0.594,0.595,3.292,2.955,1.264,1.252,1.248,1.247,1.017,0.987,1.261,2.375,2.482,2.485,2.503,2.446,2.496,2.212,2.501,3.053,3.301
0.926,2.908,0.273,0.299,0.296,0.301,0.297,0.296,1.169,2.16,0.593,0.594,0.589,0.59,0.59,0.554,0.594,2.721,3.119,1.264,1.252,1.249,1.247,1.247,1.255,1.261,2.485,2.483,2.303,2.505,2.314,2.496,2.498,2.082,3.299,3.299
0.924,3.293,0.296,0.299,0.298,0.278,0.298,0.298,1.303,2.383,0.574,0.594,0.59,0.59,0.498,0.594,0.594,3.291,3.279,1.263,1.253,1.248,1.134,1.248,1.208,1.262,2.365,2.483,2.452,2.219,2.506,2.325,2.498,2.48,3.055,3.301
0.926,0.863,0.296,0.299,0.255,0.301,0.296,0.298,1.304,2.476,0.593,0.571,0.508,0.59,0.59,0.594,0.595,3.004,2.722,1.263,1.252,1.212,1.247,1.248,1.255,1.263,2.482,2.485,2.032,2.22,2.507,2.496,2.359,2.215,3.014,2.943
