2m_-40deg,2m_-30deg,2m_-20deg,2m_-10deg,2m_0deg,2m_10deg,2m_20deg,2m_30deg,2m_40deg,1m_40deg,1m_30deg,1m_20deg,1m_10deg,1m_0deg,1m_-10deg,1m_-20deg,1m_-30deg,1m_-40deg,0.5m_-40deg,0.5m_-30deg,0.5m_-20deg,0.5m_-10deg,0.5m_0deg,0.5m_10deg,0.5m_20deg,0.5m_30deg,0.5m_40deg,0.25m_40deg,0.25m_30deg,0.25m_20deg,0.25m_10deg,0.25m_0deg,0.25m_-10deg,0.25m_-20deg,0.25m_-30deg,0.25m_-40deg
1.993,2.347,2.402,2.279,2.348,2.513,2.519,2.518,3.114,1.28,1.224,1.258,1.107,1.255,1.259,1.264,1.267,1.272,2.217,0.608,0.607,0.602,0.6,0.602,0.605,0.605,2.178,2.175,0.292,0.294,0.293,0.293,0.296,0.293,2.481,2.201
2.105,2.512,2.518,2.337,2.51,1.993,2.429,2.515,3.007,1.28,1.264,1.258,0.98,1.255,1.086,1.264,1.246,1.273,2.368,0.511,0.605,0.469,0.601,0.562,0.527,0.472,2.178,1.917,0.29,0.295,0.293,0.229,0.23,0.291,2.482,2.258
2.208,2.346,2.12,2.262,2.35,2.228,2.298,2.516,3.009,1.28,1.263,1.148,1.255,1.256,1.259,1.033,1.267,1.272,2.234,0.609,0.606,0.602,0.507,0.602,0.605,0.598,2.157,2.17,0.292,0.293,0.293,0.293,0.295,0.293,2.482,2.201
2.484,2.226,2.264,2.511,2.51,2.513,2.52,2.516,2.933,1.28,1.263,1.258,1.255,1.257,1.258,1.262,0.997,1.245,2.481,0.607,0.598,0.47,0.602,0.601,0.604,0.607,2.15,1.907,0.29,0.295,0.293,0.294,0.295,0.292,2.198,2.485
2.198,2.344,2.127,2.511,2.396,2.512,2.519,2.516,3.294,1.282,1.233,1.258,1.118,1.157,1.203,1.025,1.121,1.271,2.258,0.609,0.607,0.57,0.6,0.602,0.605,0.605,2.176,1.885,0.292,0.244,0.293,0.238,0.295,0.293,2.484,2.485
2.226,2.226,2.485,2.226,2.51,2.282,2.52,2.518,2.721,1.168,1.263,1.029,1.257,1.257,1.259,1.263,0.989,1.014,2.481,0.554,0.587,0.469,0.468,0.584,0.54,0.607,1.891,1.911,0.29,0.294,0.269,0.294,0.296,0.292,2.485,2.485
2.018,2.337,2.422,2.228,2.51,2.427,2.413,2.518,3.016,1.28,1.263,1.258,1.255,1.256,1.258,1.262,1.112,1.271,2.281,0.609,0.607,0.59,0.476,0.603,0.605,0.605,1.853,2.17,0.292,0.295,0.293,0.293,0.295,0.293,2.198,2.2
2.375,2.511,2.519,2.51,2.225,2.512,2.519,2.403,2.989,1.172,1.263,1.049,1.256,1.256,1.258,1.262,1.004,1.244,2.197,0.607,0.605,0.604,0.601,0.602,0.603,0.606,2.175,2.171,0.292,0.294,0.232,0.295,0.23,0.293,2.484,2.231
2.483,2.513,2.517,2.512,2.51,2.317,2.235,2.517,3.292,1.28,1.249,1.258,1.256,1.256,1.259,1.0,1.268,1.27,2.015,0.609,0.607,0.604,0.602,0.602,0.605,0.605,1.886,2.172,0.292,0.295,0.293,0.23,0.295,0.293,2.483,2.487
1.969,2.032,2.518,2.51,2.486,2.512,2.235,2.138,2.735,1.167,1.263,1.258,1.256,1.256,1.054,1.262,1.267,1.27,2.195,0.607,0.605,0.469,0.594,0.604,0.604,0.607,2.173,2.175,0.227,0.294,0.293,0.294,0.296,0.293,1.934,2.207
