0.25m_40deg,0.25m_30deg,0.25m_20deg,0.25m_10deg,0.25m_0deg,0.25m_-10deg,0.25m_-20deg,0.25m_-30deg,0.25m_-40deg,0.5m_-40deg,0.5m_-30deg,0.5m_-20deg,0.5m_-10deg,0.5m_0deg,0.5m_10deg,0.5m_20deg,0.5m_30deg,0.5m_40deg,1.0m_40deg,1.0m_30deg,1.0m_20deg,1.0m_10deg,1.0m_0deg,1.0m_-10deg,1.0m_-20deg,1.0m_-30deg,1.0m_-40deg,2.0m_-40deg,2.0m_-30deg,2.0m_-20deg,2.0m_-10deg,2.0m_0deg,2.0m_10deg,2.0m_20deg,2.0m_30deg,2.0m_40deg
1.995,0.315,0.295,0.299,0.297,0.3,0.296,1.274,2.044,2.483,0.604,0.608,0.604,0.604,0.607,0.608,3.009,3.083,3.008,1.005,1.088,1.266,1.263,1.266,1.12,1.272,2.483,2.261,2.527,2.515,2.51,2.508,2.51,2.52,2.519,3.148
1.843,0.313,0.296,0.298,0.298,0.301,0.23,1.274,2.197,2.483,0.471,0.607,0.472,0.502,0.605,0.609,3.231,3.005,3.296,1.279,1.27,1.162,1.263,1.092,1.271,1.235,2.434,2.125,2.282,2.51,2.51,2.272,2.51,2.521,2.519,3.006
2.172,0.315,0.23,0.298,0.241,0.299,0.296,1.271,2.485,2.482,0.58,0.608,0.603,0.604,0.606,0.608,3.294,3.293,3.007,0.997,1.097,1.266,1.151,1.266,1.271,1.272,2.145,2.482,2.364,2.515,2.51,2.222,2.422,2.52,2.015,3.295
2.123,0.315,0.295,0.297,0.298,0.301,0.295,1.277,2.485,2.197,0.47,0.607,0.604,0.602,0.584,0.609,2.955,2.72,2.815,1.279,1.241,1.266,1.262,1.104,1.017,1.272,2.483,2.482,2.517,2.515,2.511,2.508,2.225,2.227,2.235,3.299
1.98,0.315,0.295,0.299,0.239,0.299,0.296,1.276,2.484,2.484,0.604,0.608,0.603,0.604,0.608,0.608,3.294,3.074,2.723,0.995,1.27,1.221,1.133,1.267,1.271,1.272,2.468,2.481,2.099,2.516,2.509,2.185,2.439,2.235,2.361,3.16
1.831,0.315,0.296,0.298,0.298,0.301,0.296,1.134,2.485,2.482,0.471,0.607,0.604,0.602,0.491,0.609,3.008,3.007,3.295,1.13,1.27,1.266,1.264,1.114,1.271,1.273,2.483,2.482,2.526,2.042,2.332,2.508,2.308,2.521,1.97,3.026
2.176,0.315,0.295,0.299,0.245,0.253,0.23,0.991,2.2,2.485,0.605,0.608,0.551,0.604,0.472,0.519,3.11,3.294,3.254,1.266,1.27,1.266,1.126,1.266,1.202,1.084,2.215,2.197,2.525,2.516,2.225,2.507,2.464,2.131,2.434,2.892
2.173,0.315,0.23,0.298,0.232,0.301,0.296,1.148,2.486,2.197,0.6,0.608,0.604,0.602,0.605,0.609,2.724,2.723,3.294,1.279,1.27,1.266,1.253,1.266,1.271,1.273,2.198,2.248,2.525,2.23,2.459,2.366,2.51,2.235,2.521,3.297
2.176,0.315,0.296,0.233,0.296,0.299,0.296,1.29,2.172,2.485,0.605,0.579,0.603,0.604,0.606,0.607,3.126,3.07,2.722,1.279,1.108,1.266,1.263,1.267,1.27,1.213,2.483,2.481,2.525,2.265,2.225,2.508,2.247,2.522,2.492,3.296
2.173,0.315,0.295,0.298,0.298,0.234,0.28,1.279,2.486,2.341,0.604,0.608,0.604,0.602,0.605,0.609,2.725,3.007,3.009,1.126,1.27,1.266,1.234,1.129,1.271,1.273,2.397,2.48,2.305,2.146,2.501,2.508,2.51,2.236,2.52,3.298
