0.25m_-40deg,0.25m_-30deg,0.25m_-20deg,0.25m_-10deg,0.25m_0deg,0.25m_10deg,0.25m_20deg,0.25m_30deg,0.25m_40deg,0.5m_40deg,0.5m_30deg,0.5m_20deg,0.5m_10deg,0.5m_0deg,0.5m_-10deg,0.5m_-20deg,0.5m_-30deg,0.5m_-40deg,1m_-40deg,1m_-30deg,1m_-20deg,1m_-10deg,1m_0deg,1m_10deg,1m_20deg,1m_30deg,1m_40deg,2m_40deg,2m_30deg,2m_20deg,2m_10deg,2m_0deg,2m_-10deg,2m_-20deg,2m_-30deg,2m_-40deg
0.52,0.28,0.34,0.26,0.34,0.34,0.3,0.52,0.52,0.67,0.65,0.67,0.67,0.67,0.67,0.67,0.64,0.65,1.49,1.48,1.45,1.45,1.45,1.45,1.46,1.46,1.49,2.56,2.85,2.84,2.83,2.84,2.84,2.85,2.84,2.83
0.52,0.28,0.34,0.34,0.26,0.26,0.29,0.52,0.52,0.67,0.65,0.67,0.67,0.67,0.67,0.67,0.68,0.68,1.49,1.48,1.45,1.45,1.45,1.45,1.46,1.46,1.49,2.56,2.85,2.84,2.84,2.93,2.93,2.85,2.84,2.8
0.52,0.29,0.34,0.26,0.26,0.26,0.29,1.1,0.52,0.7,0.68,0.67,0.67,0.67,0.67,0.62,0.68,0.68,1.49,1.48,1.45,1.45,1.45,1.45,1.46,1.46,1.47,2.56,2.85,2.84,2.93,2.84,2.84,2.85,2.84,2.73
0.52,0.29,0.34,0.34,0.34,0.26,0.29,0.52,0.52,0.67,0.68,0.67,0.67,0.67,0.67,0.67,0.68,0.68,1.49,1.44,1.45,1.45,1.45,1.45,1.46,1.46,1.49,2.56,2.85,2.84,2.84,2.84,2.84,2.85,2.84,2.9
0.52,0.28,0.34,0.26,0.34,0.34,0.3,0.4,0.52,0.7,0.68,0.67,0.67,0.67,0.67,0.67,0.68,0.65,1.46,1.48,1.45,1.45,1.4,1.45,1.46,1.46,1.49,2.56,2.85,2.84,2.84,2.84,2.84,2.85,2.84,2.89
0.52,0.29,0.26,0.26,0.34,0.26,0.29,0.52,0.52,0.7,0.65,0.67,0.67,0.67,0.67,0.67,0.68,0.65,1.46,1.48,1.45,1.45,1.45,1.45,1.46,1.46,1.49,2.54,2.85,2.84,2.84,2.84,2.84,2.85,2.84,2.78
0.51,0.29,0.26,0.34,0.34,0.26,0.36,0.52,0.52,0.7,0.68,0.67,0.67,0.67,0.67,0.67,0.68,0.65,1.49,1.48,1.45,1.45,1.45,1.45,1.46,1.46,1.49,2.56,2.85,2.84,2.84,2.84,2.84,2.85,2.93,2.72
0.52,0.36,0.34,0.26,0.34,0.26,0.29,1.13,0.52,0.67,0.68,0.67,0.67,0.67,0.67,0.67,0.68,0.65,1.49,1.48,1.45,1.45,1.45,1.45,1.46,1.46,1.49,2.56,2.85,2.84,2.84,2.84,2.84,2.93,2.84,2.83
0.52,0.29,0.26,0.26,0.34,0.26,0.3,0.52,0.52,0.7,0.65,0.67,0.67,0.62,0.67,0.67,0.68,0.65,1.49,1.48,1.45,1.45,1.45,1.45,1.46,1.46,1.49,2.56,2.85,2.84,2.93,2.84,2.84,2.85,2.84,2.9
0.52,0.36,0.34,0.34,0.34,0.34,0.3,0.4,0.52,0.67,0.68,0.67,0.62,0.67,0.67,0.67,0.68,0.68,1.49,1.48,1.45,1.45,1.45,1.45,1.46,1.46,1.49,2.56,2.85,2.84,2.93,2.84,2.84,2.85,2.84,2.78
