0.25m_-40deg,0.25m_-30deg,0.25m_-20deg,0.25m_-10deg,0.25m_0deg,0.25m_10deg,0.25m_20deg,0.25m_30deg,0.25m_40deg,0.5m_40deg,0.5m_30deg,0.5m_20deg,0.5m_10deg,0.5m_0deg,0.5m_-10deg,0.5m_-20deg,0.5m_-30deg,0.5m_-40deg,1m_-40deg,1m_-30deg,1m_-20deg,1m_-10deg,1m_0deg,1m_10deg,1m_20deg,1m_30deg,1m_40deg,2m_40deg,2m_30deg,2m_20deg,2m_10deg,2m_0deg,2m_-10deg,2m_-20deg,2m_-30deg,2m_-40deg
0.52,0.31,0.34,0.32,0.32,0.34,0.34,0.35,0.39,0.73,0.68,0.67,0.67,0.65,0.67,0.67,0.65,0.69,1.51,1.48,1.46,1.45,1.45,1.45,1.46,1.48,1.46,2.54,2.57,2.85,2.85,2.93,2.85,2.87,2.8,2.47
0.52,0.31,0.27,0.32,0.24,0.34,0.34,0.4,0.51,0.74,0.68,0.67,0.67,0.65,0.67,0.67,0.65,0.71,1.51,1.48,1.46,1.45,1.45,1.45,1.46,1.44,1.46,2.56,2.56,2.85,2.93,2.85,2.93,2.87,2.81,2.43
0.52,0.31,0.27,0.32,0.32,0.26,0.34,0.35,0.5,0.74,0.68,0.67,0.67,0.65,0.67,0.67,0.65,0.69,1.51,1.48,1.46,1.4,1.45,1.45,1.46,1.48,1.46,2.54,2.57,2.85,2.85,2.84,2.93,2.87,2.9,2.45
0.52,0.31,0.34,0.32,0.32,0.34,0.26,0.35,0.51,0.74,0.68,0.67,0.67,0.65,0.67,0.67,0.65,0.71,1.51,1.44,1.46,1.45,1.45,1.45,1.46,1.44,1.46,2.54,2.56,2.85,2.85,2.84,2.84,2.87,2.81,2.45
0.52,0.31,0.27,0.24,0.32,0.34,0.34,0.35,0.51,0.74,0.68,0.67,0.67,0.65,0.67,0.67,0.68,0.71,1.49,1.44,1.46,1.45,1.45,1.45,1.46,1.48,1.46,2.54,2.57,2.85,2.85,2.85,2.84,2.87,2.9,2.39
0.52,0.31,0.27,0.32,0.32,0.34,0.34,0.4,0.5,0.74,0.64,0.67,0.67,0.65,0.67,0.67,0.68,0.71,1.49,1.48,1.46,1.45,1.45,1.45,1.46,1.48,1.46,2.54,2.56,2.85,2.85,2.84,2.84,2.87,2.9,2.45
0.52,0.31,0.34,0.32,0.32,0.34,0.34,0.35,0.51,0.74,0.68,0.67,0.67,0.65,0.67,0.62,0.65,0.69,1.49,1.48,1.46,1.45,1.45,1.45,1.46,1.48,1.46,2.54,2.57,2.93,2.85,2.93,2.85,2.87,2.81,2.45
0.52,0.31,0.27,0.32,0.24,0.34,0.34,0.35,0.51,0.74,0.68,0.67,0.67,0.65,0.67,0.67,0.68,0.71,1.51,1.48,1.46,1.45,1.45,1.4,1.46,1.48,1.46,2.54,2.57,2.95,2.93,2.93,2.85,2.87,2.92,2.39
0.52,0.31,0.34,0.32,0.32,0.34,0.34,0.35,0.51,0.74,0.68,0.67,0.67,0.65,0.67,0.67,0.68,0.71,1.51,1.44,1.46,1.45,1.45,1.45,1.46,1.48,1.46,2.54,2.56,2.85,2.93,2.85,2.84,2.87,2.81,2.45
0.52,0.37,0.27,0.24,0.32,0.34,0.34,0.4,0.5,0.75,0.68,0.67,0.67,0.65,0.67,0.67,0.65,0.69,1.51,1.44,1.46,1.45,1.45,1.45,1.46,1.44,1.46,2.54,2.57,2.85,2.85,2.85,2.84,2.87,2.9,2.45
0.52,0.31,0.27,0.32,0.32,0.34,0.34,0.35,0.5,0.74,0.68,0.67,0.67,0.65,0.67,0.67,0.68,0.69,1.49,1.44,1.46,1.4,1.4,1.45,1.42,1.44,1.46,2.54,2.56,2.85,2.85,2.85,2.85,2.87,2.8,2.45
