0.25m_0deg,0.5m_0deg,1m_0deg,2m_0deg
0.243,0.482,0.971,1.96
0.243,0.487,0.97,1.96
0.243,0.488,0.971,1.961
0.243,0.487,0.971,1.956
0.243,0.488,0.97,1.961
0.243,0.487,0.971,1.96
0.243,0.487,0.971,1.96
0.243,0.488,0.971,1.96
0.243,0.488,0.971,1.96
0.243,0.488,0.971,1.96
0.243,0.487,0.971,1.957
0.243,0.482,0.97,1.957
0.243,0.482,0.971,1.961
0.243,0.483,0.971,1.96
0.243,0.482,0.971,1.96
0.243,0.482,0.971,0.927
0.243,0.482,0.971,1.953
0.243,0.482,0.971,1.961
0.243,0.482,0.971,1.961
0.243,0.482,0.971,1.956
0.252,0.483,0.971,1.96
0.252,0.482,0.97,1.956
0.26,0.482,0.97,1.96
0.263,0.482,0.971,1.96
0.263,0.488,0.971,1.956
0.243,0.488,0.97,1.957
0.243,0.488,0.97,1.961
0.243,0.488,0.97,1.96
0.243,0.488,0.971,1.961
0.243,0.487,0.971,1.96
0.243,0.488,0.971,1.957
0.243,0.488,0.971,1.961
0.243,0.488,0.971,1.961
0.243,0.482,0.971,1.961
0.243,0.482,0.971,1.96
0.243,0.482,0.971,1.956
0.243,0.482,0.97,1.956
0.243,0.483,0.97,1.956
0.243,0.482,0.97,1.957
0.243,0.482,0.97,1.961
0.243,0.482,0.97,1.957
0.243,0.482,0.97,1.961
0.243,0.482,0.97,1.961
0.243,0.482,0.97,1.96
0.243,0.483,0.971,1.961
0.243,0.482,0.971,1.96
0.252,0.482,0.971,1.961
0.252,0.488,0.971,1.961
0.252,0.488,0.971,1.961
0.252,0.488,0.971,0.944
0.252,0.488,0.971,1.948
0.243,0.488,0.971,1.956
0.243,0.488,0.97,1.96
0.243,0.487,0.97,1.956
0.243,0.487,0.97,1.957
0.243,0.488,0.97,1.961
0.243,0.488,0.971,1.956
0.243,0.482,0.971,1.956
0.243,0.482,0.97,1.956
0.243,0.482,0.971,1.96
0.243,0.482,0.97,1.956
0.243,0.483,0.97,1.956
0.243,0.482,0.97,1.957
0.243,0.482,0.97,1.956
0.243,0.482,0.97,1.96
0.243,0.482,0.97,1.961
0.243,0.482,0.97,1.961
0.243,0.482,0.97,1.956
0.243,0.483,0.97,1.961
0.243,0.482,0.971,1.957
0.243,0.482,0.97,1.956
0.243,0.482,0.97,1.96
0.252,0.487,0.97,1.96
0.252,0.487,0.97,1.956
0.252,0.488,0.97,1.957
0.252,0.488,0.971,1.961
0.243,0.488,0.971,1.956
0.243,0.488,0.971,1.96
0.243,0.488,0.971,1.96
0.243,0.483,0.971,1.956
0.243,0.482,0.97,1.961
0.243,0.482,0.971,1.957
0.243,0.482,0.971,1.956
0.243,0.482,0.971,1.961
0.243,0.482,0.97,1.956
0.243,0.483,0.971,1.956
0.243,0.482,0.971,1.957
0.243,0.482,0.971,1.96
0.243,0.482,0.97,1.961
0.243,0.482,0.97,1.956
0.243,0.482,0.97,1.961
0.243,0.482,0.97,1.96
0.243,0.483,0.97,1.956
0.243,0.488,0.97,1.956
0.243,0.487,0.97,1.956
0.243,0.487,0.97,1.961
0.243,0.488,0.97,1.956
0.243,0.488,0.971,1.957
0.243,0.488,0.97,0.944
0.243,0.488,0.971,1.957
0.252,0.487,0.971,1.96
0.243,0.487,0.97,1.96
0.243,0.487,0.97,1.961
0.243,0.488,0.971,1.956
0.243,0.488,0.97,1.957
0.243,0.482,0.97,0.948
0.243,0.482,0.971,1.948
0.243,0.482,0.971,0.956
0.243,0.482,0.971,1.952
0.243,0.483,0.971,1.96
0.243,0.482,0.971,1.957
0.243,0.482,0.971,1.956
0.243,0.482,0.971,1.956
0.243,0.482,0.971,1.96
0.243,0.488,0.971,1.956
0.243,0.488,0.97,1.956
0.243,0.488,0.97,1.956
0.243,0.488,0.97,1.957
0.243,0.488,0.97,0.948
0.243,0.488,0.97,1.948
0.243,0.488,0.97,1.96
0.243,0.488,0.97,1.956
0.243,0.488,0.97,1.956
0.243,0.488,0.97,1.961
0.243,0.488,0.971,1.961
0.243,0.488,0.97,1.956
0.243,0.488,0.97,1.956
0.243,0.488,0.97,1.956
0.243,0.487,0.97,1.956
0.243,0.488,0.97,1.96
0.243,0.482,0.97,1.956
0.243,0.483,0.97,1.956
0.243,0.482,0.97,1.961
0.243,0.482,0.97,0.944
0.243,0.482,0.97,1.957
0.243,0.482,0.97,1.956
