2m_0deg,1m_0deg,0.5m_0deg,0.25m_0deg
1.961,0.972,0.482,0.246
1.96,0.971,0.482,0.246
1.961,0.971,0.482,0.246
1.961,0.971,0.482,0.246
1.96,0.971,0.483,0.246
1.961,0.976,0.482,0.246
1.961,0.971,0.482,0.246
1.96,0.971,0.482,0.246
1.96,0.972,0.482,0.246
1.961,0.972,0.482,0.246
1.96,0.972,0.482,0.246
1.96,0.972,0.483,0.246
1.961,0.972,0.482,0.246
1.96,0.972,0.482,0.246
1.956,0.972,0.482,0.246
1.961,0.972,0.482,0.246
1.96,0.971,0.482,0.246
1.961,0.972,0.483,0.246
1.961,0.972,0.482,0.246
1.961,0.972,0.482,0.246
1.961,0.971,0.482,0.246
1.961,0.971,0.482,0.246
1.96,0.971,0.482,0.246
1.96,0.971,0.482,0.246
1.961,0.971,0.483,0.246
1.96,0.971,0.482,0.246
1.96,0.971,0.482,0.246
1.96,0.971,0.482,0.246
1.96,0.971,0.482,0.246
1.96,0.971,0.482,0.246
1.96,0.971,0.483,0.246
1.96,0.972,0.482,0.246
1.961,0.976,0.482,0.246
1.961,0.972,0.482,0.246
1.961,0.972,0.482,0.246
1.961,0.972,0.482,0.246
1.961,0.972,0.483,0.246
1.96,0.972,0.482,0.246
1.96,0.972,0.482,0.246
1.961,0.972,0.482,0.246
1.96,0.971,0.482,0.246
1.957,0.972,0.482,0.246
1.961,0.971,0.482,0.246
1.961,0.971,0.483,0.246
1.961,0.972,0.482,0.246
1.961,0.971,0.482,0.237
1.96,0.971,0.482,0.246
1.961,0.971,0.482,0.246
1.96,0.971,0.482,0.246
1.961,0.971,0.483,0.246
1.961,0.971,0.482,0.246
1.965,0.971,0.482,0.246
1.96,0.971,0.482,0.246
1.96,0.972,0.482,0.246
1.961,0.972,0.482,0.246
1.96,0.971,0.482,0.246
1.96,0.976,0.483,0.246
1.961,0.971,0.482,0.246
1.961,0.972,0.482,0.246
1.96,0.972,0.482,0.246
1.957,0.972,0.482,0.246
1.96,0.972,0.482,0.246
1.96,0.972,0.483,0.246
1.961,0.972,0.482,0.246
1.96,0.972,0.482,0.246
1.961,0.972,0.482,0.246
1.961,0.971,0.482,0.246
1.961,0.971,0.482,0.246
1.961,0.976,0.482,0.246
1.961,0.971,0.483,0.246
1.96,0.976,0.482,0.246
1.961,0.976,0.482,0.237
1.96,0.976,0.482,0.246
1.961,0.971,0.482,0.246
1.961,0.971,0.482,0.246
1.96,0.971,0.483,0.246
1.96,0.971,0.482,0.246
1.961,0.971,0.482,0.246
1.96,0.971,0.482,0.246
1.961,0.971,0.482,0.246
1.961,0.972,0.482,0.246
1.961,0.971,0.483,0.246
1.961,0.971,0.482,0.246
1.961,0.972,0.482,0.246
1.96,0.972,0.482,0.246
1.96,0.972,0.482,0.246
1.96,0.972,0.482,0.246
1.961,0.972,0.482,0.246
1.96,0.972,0.483,0.246
1.961,0.972,0.482,0.246
1.961,0.971,0.482,0.246
1.961,0.972,0.482,0.246
1.96,0.971,0.482,0.246
1.961,0.971,0.482,0.246
1.96,0.972,0.483,0.246
1.96,0.971,0.482,0.246
1.961,0.971,0.482,0.246
1.961,0.971,0.482,0.246
1.961,0.971,0.482,0.246
1.961,0.971,0.482,0.246
1.961,0.971,0.482,0.246
1.96,0.971,0.483,0.246
1.96,0.971,0.482,0.246
1.96,0.971,0.482,0.246
1.961,0.972,0.482,0.246
1.961,0.971,0.482,0.246
1.961,0.971,0.482,0.246
1.961,0.972,0.483,0.246
1.96,0.972,0.482,0.246
1.961,0.972,0.482,0.246
1.961,0.972,0.482,0.246
1.96,0.976,0.482,0.246
1.961,0.972,0.482,0.246
1.961,0.972,0.482,0.246
1.961,0.976,0.483,0.246
1.961,0.971,0.482,0.246
1.96,0.971,0.482,0.246
1.96,0.971,0.482,0.246
1.961,0.971,0.482,0.246
1.961,0.971,0.482,0.246
1.961,0.972,0.483,0.246
1.961,0.971,0.482,0.246
1.961,0.971,0.482,0.246
1.961,0.971,0.482,0.246
1.96,0.971,0.482,0.246
1.96,0.971,0.482,0.246
1.961,0.972,0.482,0.246
1.96,0.971,0.483,0.246
1.961,0.972,0.482,0.246
0.931,0.971,0.482,0.246
1.414,0.976,0.482,0.246
0.921,0.971,0.482,0.246
1.432,0.971,0.482,0.246
0.915,0.972,0.483,0.246
1.434,0.972,0.482,0.246
0.914,0.972,0.482,0.246
1.434,0.976,0.482,0.246
0.91,0.972,0.482,0.246
1.438,0.972,0.482,0.246
0.909,0.972,0.483,0.246
1.44,0.972,0.482,0.246
0.913,0.972,0.482,0.246
1.444,0.971,0.482,0.246
0.895,0.971,0.482,0.246
1.458,0.976,0.482,0.246
0.881,0.971,0.482,0.246
1.468,0.971,0.483,0.246
0.88,0.971,0.482,0.246
1.473,0.971,0.482,0.246
0.866,0.971,0.482,0.246
1.486,0.971,0.482,0.246
0.857,0.971,0.482,0.246
1.478,0.971,0.483,0.246
0.873,0.971,0.482,0.246
1.483,0.971,0.482,0.246
0.868,0.971,0.482,0.246
1.489,0.971,0.482,0.246
0.859,0.972,0.482,0.246
1.489,0.972,0.482,0.246
0.858,0.972,0.483,0.246
1.495,0.972,0.482,0.246
0.853,0.972,0.482,0.246
1.5,0.972,0.482,0.246
0.844,0.972,0.482,0.246
1.509,0.972,0.482,0.246
0.843,0.971,0.483,0.246
1.513,0.971,0.482,0.246
0.839,0.972,0.482,0.246
1.518,0.971,0.482,0.246
0.826,0.971,0.482,0.246
1.528,0.971,0.482,0.246
0.82,0.971,0.482,0.246
1.533,0.971,0.483,0.246
0.819,0.971,0.482,0.246
1.538,0.971,0.482,0.246
0.818,0.971,0.482,0.246
1.535,0.971,0.482,0.246
0.814,0.971,0.482,0.246
1.539,0.971,0.483,0.246
0.813,0.971,0.482,0.246
1.545,0.971,0.482,0.246
0.799,0.972,0.482,0.246
1.554,0.971,0.482,0.246
0.789,0.972,0.482,0.246
1.56,0.972,0.483,0.246
0.797,0.972,0.482,0.246
1.548,0.972,0.482,0.246
0.804,0.972,0.482,0.246
1.545,0.972,0.482,0.246
0.807,0.972,0.482,0.246
1.545,0.972,0.482,0.246
0.798,0.971,0.483,0.246
1.55,0.971,0.482,0.246
0.802,0.971,0.482,0.246
1.551,0.971,0.482,0.246
0.789,0.971,0.482,0.246
1.564,0.971,0.482,0.246
0.788,0.971,0.483,0.246
1.565,0.972,0.482,0.246
0.787,0.971,0.482,0.246
