0.25m_0deg,0.5m_0deg,1m_0deg,2m_0deg
0.243,0.477,0.971,1.979
0.243,0.477,0.966,1.974
0.243,0.477,0.967,1.978
0.243,0.477,0.967,1.974
0.243,0.477,0.966,1.978
0.243,0.478,0.966,1.974
0.243,0.477,0.967,1.978
0.243,0.481,0.967,1.978
0.243,0.477,0.966,1.974
0.243,0.481,0.966,1.982
0.243,0.477,0.967,1.974
0.243,0.477,0.967,1.974
0.243,0.477,0.967,1.974
0.243,0.481,0.967,1.97
0.243,0.481,0.967,1.974
0.243,0.477,0.966,1.974
0.243,0.477,0.966,1.975
0.243,0.477,0.967,1.975
0.243,0.477,0.966,1.974
0.243,0.477,0.966,1.975
0.243,0.477,0.966,1.974
0.243,0.477,0.966,1.974
0.243,0.481,0.971,1.97
0.243,0.477,0.967,1.97
0.243,0.477,0.967,1.978
0.243,0.477,0.967,1.974
0.243,0.481,0.966,1.974
0.243,0.481,0.967,1.974
0.243,0.477,0.967,1.97
0.243,0.481,0.966,1.974
0.243,0.481,0.967,1.97
0.243,0.477,0.967,1.97
0.243,0.477,0.966,1.974
0.243,0.481,0.967,1.974
0.243,0.481,0.966,1.97
0.243,0.477,0.967,1.97
0.243,0.477,0.966,1.974
0.243,0.481,0.967,1.974
0.243,0.477,0.966,1.975
0.243,0.477,0.966,1.97
0.243,0.477,0.97,1.97
0.243,0.477,0.971,1.97
0.243,0.477,0.967,1.974
0.243,0.477,0.966,1.974
0.243,0.477,0.967,1.97
0.243,0.477,0.966,1.97
0.243,0.477,0.967,1.974
0.243,0.477,0.966,1.969
0.243,0.477,0.966,1.974
0.243,0.477,0.967,1.974
0.243,0.477,0.966,1.974
0.243,0.477,0.967,1.974
0.243,0.477,0.966,1.974
0.243,0.477,0.966,1.97
0.243,0.477,0.966,1.97
0.243,0.477,0.966,1.974
0.243,0.477,0.966,1.97
0.243,0.477,0.966,1.974
0.243,0.477,0.971,1.974
0.243,0.477,0.971,1.974
0.243,0.477,0.967,1.97
0.243,0.477,0.966,1.97
0.243,0.477,0.967,1.974
0.243,0.477,0.967,1.97
0.243,0.481,0.966,1.974
0.243,0.477,0.966,1.974
0.243,0.477,0.967,1.974
0.243,0.477,0.966,1.974
0.243,0.477,0.966,1.974
0.243,0.477,0.967,1.974
0.243,0.477,0.967,1.975
0.243,0.477,0.967,1.97
0.243,0.481,0.967,1.974
0.243,0.477,0.966,1.97
0.243,0.477,0.966,1.974
0.243,0.481,0.967,1.974
0.243,0.477,0.967,1.974
0.243,0.477,0.967,1.974
0.243,0.477,0.966,1.969
0.243,0.477,0.967,1.97
0.243,0.481,0.966,1.97
0.243,0.477,0.967,1.974
0.243,0.477,0.967,1.974
0.243,0.477,0.966,1.974
0.243,0.477,0.967,1.974
0.243,0.477,0.967,1.974
0.243,0.477,0.966,1.974
0.243,0.477,0.967,1.974
0.243,0.477,0.966,1.975
0.243,0.477,0.971,1.97
0.243,0.477,0.966,1.97
0.243,0.477,0.966,1.974
0.243,0.477,0.967,1.97
0.243,0.477,0.966,1.974
0.243,0.477,0.966,1.97
0.243,0.477,0.967,1.974
0.243,0.477,0.967,1.97
0.243,0.477,0.966,1.974
0.243,0.477,0.966,1.97
0.243,0.478,0.966,1.97
0.243,0.477,0.967,1.97
0.243,0.477,0.967,1.974
0.243,0.477,0.967,1.97
0.243,0.477,0.967,1.974
0.243,0.481,0.967,1.975
0.243,0.477,0.967,1.97
0.243,0.477,0.966,1.97
0.243,0.477,0.966,1.97
0.243,0.477,0.967,1.974
0.243,0.481,0.966,1.974
0.243,0.477,0.967,1.974
0.243,0.477,0.967,1.974
0.243,0.477,0.966,1.97
0.243,0.477,0.967,1.974
0.243,0.477,0.967,1.974
0.243,0.477,0.967,1.974
0.243,0.477,0.966,1.97
0.243,0.477,0.966,1.969
0.243,0.477,0.966,1.974
0.243,0.477,0.967,1.974
0.243,0.477,0.967,1.974
0.243,0.477,0.966,1.974
0.243,0.477,0.967,1.97
0.243,0.477,0.967,1.974
0.243,0.477,0.967,1.974
0.243,0.477,0.967,1.974
0.243,0.477,0.967,1.97
0.243,0.477,0.966,1.974
0.243,0.477,0.966,1.974
0.243,0.477,0.971,1.974
0.243,0.477,0.967,1.974
0.243,0.477,0.966,1.974
0.243,0.481,0.966,1.974
0.243,0.477,0.966,1.974
0.243,0.477,0.97,1.97
0.243,0.477,0.966,1.974
0.243,0.477,0.967,1.97
0.243,0.477,0.967,1.974
0.243,0.481,0.966,1.974
0.243,0.481,0.967,1.974
0.243,0.477,0.967,1.974
0.243,0.477,0.967,1.97
0.243,0.477,0.966,1.974
0.243,0.477,0.97,1.974
0.243,0.477,0.967,1.974
0.243,0.481,0.966,1.974
0.243,0.481,0.966,1.974
0.243,0.477,0.966,1.974
0.243,0.481,0.97,1.978
0.243,0.477,0.971,1.974
0.243,0.481,0.967,1.974
0.243,0.481,0.966,1.974
0.243,0.477,0.97,1.974
0.243,0.481,0.967,1.974
0.243,0.481,0.966,1.974
0.243,0.481,0.967,1.974
0.243,0.481,0.967,1.97
0.243,0.481,0.967,1.97
0.243,0.481,0.967,1.97
0.243,0.481,0.967,1.969
0.243,0.481,0.967,1.974
0.243,0.481,0.967,1.97
0.243,0.481,0.967,1.97
0.243,0.481,0.967,1.974
0.243,0.481,0.967,1.974
0.243,0.481,0.967,1.974
0.243,0.481,0.966,1.974
0.243,0.481,0.967,1.974
0.243,0.481,0.967,1.974
0.243,0.481,0.967,1.974
0.243,0.481,0.967,1.974
0.243,0.481,0.966,1.974
0.243,0.477,0.967,1.974
0.243,0.481,0.967,1.974
0.243,0.481,0.967,1.974
0.243,0.481,0.967,1.97
0.243,0.481,0.971,1.974
0.243,0.481,0.967,1.974
0.243,0.481,0.967,1.97
0.243,0.481,0.966,1.97
0.243,0.481,0.966,1.974
0.243,0.481,0.966,1.97
0.243,0.481,0.966,1.975
0.243,0.481,0.97,1.97
0.243,0.481,0.967,1.974
0.243,0.481,0.966,1.97
0.243,0.481,0.966,1.97
0.243,0.481,0.967,1.97
0.243,0.481,0.967,1.97
0.243,0.481,0.967,1.97
0.243,0.481,0.967,1.974
0.243,0.481,0.967,1.974
0.243,0.481,0.967,1.969
0.243,0.481,0.966,1.974
0.243,0.481,0.967,1.97
0.243,0.481,0.967,1.97
0.243,0.481,0.966,1.971
0.243,0.481,0.966,1.97
0.243,0.481,0.967,1.974
0.243,0.481,0.966,1.97
