2m_0deg,1m_0deg,0.5m_0deg,0.25m_0deg
1.959,0.973,0.494,0.258
1.955,0.973,0.494,0.258
1.955,0.973,0.494,0.257
1.959,0.972,0.494,0.257
1.959,0.972,0.494,0.257
1.959,0.972,0.494,0.258
1.959,0.972,0.495,0.258
1.959,0.972,0.494,0.258
1.959,0.972,0.494,0.257
1.959,0.972,0.494,0.257
1.959,0.972,0.494,0.257
1.959,0.972,0.494,0.258
1.959,0.972,0.494,0.258
1.959,0.972,0.494,0.258
1.959,0.972,0.494,0.257
1.959,0.972,0.495,0.257
1.959,0.972,0.494,0.257
1.959,0.972,0.494,0.258
1.959,0.972,0.495,0.258
1.955,0.972,0.494,0.258
1.959,0.973,0.494,0.257
1.959,0.973,0.494,0.257
1.959,0.973,0.494,0.257
1.959,0.973,0.494,0.258
1.959,0.973,0.494,0.258
1.959,0.972,0.494,0.257
1.959,0.972,0.494,0.257
1.959,0.972,0.494,0.257
1.959,0.972,0.495,0.258
1.959,0.972,0.494,0.258
1.955,0.972,0.494,0.258
1.959,0.972,0.494,0.257
1.959,0.972,0.494,0.257
1.959,0.972,0.494,0.257
1.959,0.972,0.494,0.258
1.959,0.972,0.494,0.258
1.959,0.972,0.494,0.258
1.959,0.972,0.495,0.257
1.959,0.972,0.494,0.257
1.958,0.972,0.494,0.257
1.955,0.972,0.494,0.258
1.959,0.972,0.494,0.258
1.959,0.972,0.494,0.258
1.959,0.973,0.494,0.257
1.959,0.973,0.495,0.257
1.959,0.973,0.494,0.257
1.959,0.973,0.495,0.258
1.959,0.973,0.494,0.258
1.959,0.973,0.494,0.258
1.959,0.972,0.494,0.257
1.959,0.973,0.494,0.257
1.959,0.972,0.494,0.257
1.959,0.972,0.494,0.258
1.958,0.972,0.494,0.258
1.959,0.972,0.494,0.258
1.959,0.972,0.494,0.257
1.959,0.972,0.494,0.257
1.959,0.972,0.494,0.257
1.959,0.972,0.494,0.258
1.959,0.972,0.495,0.258
1.959,0.972,0.494,0.258
1.959,0.972,0.494,0.257
1.959,0.972,0.494,0.257
1.959,0.972,0.494,0.257
1.959,0.972,0.494,0.258
1.959,0.972,0.494,0.258
1.959,0.973,0.494,0.258
1.959,0.973,0.494,0.257
1.959,0.973,0.495,0.257
1.959,0.973,0.494,0.257
1.959,0.973,0.494,0.258
1.959,0.973,0.494,0.258
1.959,0.972,0.494,0.257
1.959,0.972,0.494,0.257
1.959,0.972,0.494,0.257
1.959,0.972,0.494,0.258
1.959,0.972,0.494,0.258
1.959,0.972,0.495,0.258
1.959,0.972,0.494,0.257
1.96,0.972,0.494,0.257
1.959,0.972,0.494,0.257
1.959,0.972,0.494,0.258
1.959,0.972,0.494,0.258
1.959,0.972,0.494,0.258
1.959,0.972,0.494,0.257
1.959,0.972,0.494,0.257
1.959,0.972,0.494,0.257
1.959,0.972,0.494,0.258
1.959,0.972,0.495,0.258
1.959,0.973,0.494,0.258
1.959,0.973,0.494,0.257
1.959,0.973,0.494,0.257
1.959,0.973,0.494,0.257
1.959,0.973,0.494,0.258
1.959,0.973,0.494,0.258
1.959,0.972,0.494,0.258
1.959,0.972,0.494,0.257
1.959,0.972,0.494,0.257
1.959,0.972,0.494,0.257
1.959,0.972,0.495,0.258
1.959,0.972,0.494,0.258
1.959,0.973,0.494,0.258
1.959,0.972,0.494,0.257
1.959,0.972,0.494,0.257
1.959,0.972,0.494,0.257
1.959,0.972,0.494,0.258
1.959,0.972,0.494,0.258
1.959,0.972,0.494,0.258
1.959,0.972,0.495,0.257
1.955,0.972,0.494,0.257
1.959,0.972,0.494,0.257
1.959,0.972,0.494,0.258
1.959,0.973,0.494,0.258
1.959,0.973,0.494,0.258
1.959,0.972,0.494,0.257
1.959,0.973,0.494,0.257
1.959,0.973,0.494,0.257
1.959,0.973,0.494,0.258
1.959,0.972,0.494,0.258
1.959,0.972,0.494,0.257
1.959,0.972,0.494,0.257
1.959,0.972,0.494,0.257
1.959,0.972,0.494,0.258
1.959,0.972,0.494,0.258
1.959,0.972,0.494,0.258
1.959,0.972,0.494,0.257
1.959,0.972,0.494,0.257
1.959,0.972,0.494,0.257
1.959,0.972,0.494,0.258
1.959,0.972,0.494,0.258
1.959,0.972,0.495,0.258
1.959,0.972,0.494,0.257
1.959,0.972,0.494,0.257
1.959,0.972,0.494,0.257
1.959,0.972,0.494,0.258
1.959,0.973,0.494,0.258
1.959,0.973,0.494,0.258
1.96,0.973,0.494,0.257
1.959,0.973,0.494,0.257
1.959,0.973,0.495,0.257
1.959,0.973,0.494,0.258
1.959,0.972,0.494,0.258
1.959,0.972,0.494,0.258
1.959,0.972,0.494,0.257
1.959,0.972,0.494,0.257
1.959,0.972,0.494,0.257
1.96,0.973,0.494,0.258
1.959,0.972,0.494,0.258
1.959,0.972,0.495,0.258
1.959,0.972,0.494,0.257
1.959,0.972,0.494,0.257
1.959,0.972,0.494,0.257
1.959,0.972,0.494,0.258
1.959,0.972,0.494,0.258
1.955,0.972,0.495,0.258
1.959,0.972,0.495,0.257
1.959,0.972,0.494,0.257
1.959,0.972,0.494,0.257
1.959,0.973,0.494,0.258
1.959,0.973,0.494,0.258
1.96,0.973,0.495,0.258
1.959,0.973,0.495,0.257
1.959,0.973,0.495,0.257
1.959,0.973,0.494,0.257
1.959,0.972,0.494,0.258
1.959,0.972,0.494,0.258
1.959,0.972,0.494,0.257
1.959,0.972,0.495,0.257
1.959,0.972,0.494,0.257
1.959,0.972,0.494,0.258
1.959,0.972,0.495,0.258
1.959,0.972,0.494,0.258
1.959,0.972,0.494,0.257
1.959,0.972,0.495,0.257
1.959,0.972,0.494,0.257
1.959,0.972,0.494,0.258
1.959,0.972,0.494,0.258
1.959,0.972,0.494,0.258
1.959,0.972,0.494,0.257
1.959,0.972,0.495,0.257
1.959,0.972,0.494,0.257
1.959,0.972,0.494,0.258
1.959,0.973,0.494,0.258
1.959,0.973,0.494,0.258
1.959,0.973,0.494,0.257
1.959,0.973,0.494,0.257
1.959,0.973,0.494,0.257
1.959,0.973,0.494,0.258
1.959,0.972,0.494,0.258
1.959,0.972,0.494,0.258
1.959,0.972,0.494,0.257
1.959,0.972,0.494,0.257
