0.25m_0deg,0.5m_0deg,1m_0deg,2m_0deg
0.258,0.484,0.975,1.955
0.258,0.484,0.974,0.951
0.257,0.484,0.975,1.947
0.257,0.484,0.975,1.956
0.257,0.485,0.975,1.956
0.258,0.484,0.974,1.955
0.258,0.484,0.974,0.951
0.258,0.484,0.975,1.947
0.257,0.484,0.974,1.955
0.257,0.484,0.975,1.956
0.257,0.485,0.974,1.956
0.258,0.484,0.975,1.955
0.258,0.484,0.974,1.955
0.257,0.484,0.975,1.955
0.257,0.484,0.974,0.946
0.257,0.484,0.975,1.952
0.258,0.485,0.975,1.956
0.258,0.484,0.974,1.956
0.258,0.484,0.975,1.955
0.257,0.484,0.975,1.955
0.257,0.484,0.975,1.955
0.257,0.484,0.974,1.955
0.258,0.485,0.974,0.947
0.258,0.484,0.975,1.948
0.258,0.484,0.975,1.955
0.257,0.484,0.974,0.951
0.257,0.484,0.975,1.947
0.257,0.484,0.975,1.955
0.258,0.484,0.975,1.956
0.258,0.484,0.975,1.956
0.258,0.484,0.975,1.955
0.257,0.484,0.975,1.954
0.257,0.484,0.975,1.951
0.257,0.484,0.974,1.955
0.258,0.484,0.975,1.956
0.258,0.484,0.975,1.956
0.258,0.484,0.975,0.947
0.257,0.484,0.975,1.952
0.257,0.484,0.975,0.958
0.257,0.484,0.975,1.96
0.258,0.484,0.975,0.946
0.258,0.484,0.975,1.956
0.258,0.484,0.975,1.956
0.257,0.484,0.975,0.955
0.257,0.484,0.975,1.952
0.257,0.484,0.975,1.956
0.258,0.484,0.975,1.955
0.258,0.485,0.975,0.947
0.258,0.484,0.975,1.947
0.257,0.484,0.975,1.955
0.257,0.484,0.975,1.956
0.257,0.484,0.975,0.951
0.258,0.484,0.975,1.948
0.258,0.485,0.975,1.955
0.258,0.484,0.974,1.956
0.257,0.484,0.975,1.955
0.257,0.484,0.975,1.955
0.257,0.484,0.975,1.951
0.258,0.484,0.975,1.951
0.258,0.485,0.975,1.955
0.257,0.484,0.975,1.955
0.257,0.484,0.975,1.955
0.257,0.484,0.975,1.956
0.258,0.484,0.975,1.955
0.258,0.484,0.975,0.951
0.258,0.484,0.975,1.947
0.257,0.484,0.975,1.955
0.257,0.484,0.975,0.946
0.257,0.484,0.975,1.952
0.258,0.484,0.975,1.956
0.258,0.484,0.975,1.955
0.258,0.485,0.975,1.951
0.257,0.484,0.975,1.955
0.257,0.484,0.975,1.954
0.257,0.484,0.974,1.951
0.258,0.484,0.975,1.955
0.258,0.484,0.975,1.955
0.258,0.485,0.975,1.951
0.257,0.484,0.974,1.955
0.257,0.484,0.975,1.951
0.257,0.484,0.975,1.951
0.258,0.484,0.975,1.956
0.258,0.484,0.975,1.956
0.258,0.485,0.974,0.946
0.257,0.484,0.975,1.951
0.257,0.484,0.975,1.955
0.257,0.484,0.975,1.955
0.258,0.484,0.975,1.955
0.258,0.484,0.975,1.951
0.258,0.485,0.975,1.951
0.257,0.484,0.975,1.951
0.257,0.484,0.975,0.946
0.257,0.484,0.975,1.948
0.258,0.484,0.975,1.955
0.258,0.484,0.975,1.956
0.258,0.485,0.975,1.955
0.257,0.484,0.975,1.955
0.257,0.484,0.975,1.955
0.257,0.484,0.975,1.951
0.258,0.484,0.975,1.956
0.258,0.484,0.975,1.955
0.257,0.484,0.975,1.954
0.257,0.484,0.974,1.955
0.257,0.484,0.975,1.954
0.257,0.484,0.975,1.951
0.258,0.484,0.975,1.951
0.258,0.484,0.974,1.951
0.257,0.485,0.975,1.955
0.257,0.484,0.975,1.955
0.257,0.484,0.975,1.955
0.258,0.484,0.975,1.951
0.258,0.484,0.975,1.955
0.258,0.484,0.975,1.955
0.257,0.485,0.975,1.951
0.257,0.484,0.975,1.951
0.257,0.484,0.975,1.951
0.258,0.484,0.975,1.951
0.258,0.484,0.975,1.955
0.258,0.484,0.975,1.956
0.257,0.485,0.975,1.951
0.257,0.484,0.975,1.955
0.257,0.484,0.975,1.955
0.258,0.484,0.974,1.951
0.258,0.484,0.974,1.955
0.258,0.484,0.975,1.951
0.257,0.485,0.975,1.95
0.257,0.484,0.975,1.951
0.257,0.484,0.975,1.951
0.258,0.484,0.975,0.951
0.258,0.484,0.975,1.943
0.258,0.484,0.975,1.955
0.257,0.485,0.975,1.951
0.257,0.484,0.975,1.951
0.257,0.484,0.975,1.951
0.258,0.484,0.975,1.955
0.258,0.484,0.975,1.955
0.258,0.484,0.975,1.955
0.257,0.485,0.975,1.951
0.257,0.484,0.975,1.955
0.257,0.484,0.975,1.955
0.258,0.484,0.975,1.955
0.258,0.484,0.975,1.955
0.258,0.484,0.975,1.951
0.257,0.485,0.975,1.955
0.257,0.484,0.975,1.955
0.257,0.484,0.975,1.955
0.258,0.484,0.974,1.955
0.258,0.484,0.975,1.951
0.257,0.484,0.975,1.951
0.257,0.484,0.975,1.951
0.257,0.484,0.975,1.954
