2m_0deg,1m_0deg,0.5m_0deg,0.25m_0deg
1.953,0.97,0.479,0.237
0.949,0.97,0.479,0.237
1.956,0.97,0.479,0.237
0.933,0.97,0.479,0.237
1.952,0.97,0.479,0.237
0.937,0.97,0.479,0.237
1.952,0.97,0.479,0.237
0.941,0.97,0.479,0.237
1.952,0.97,0.479,0.237
0.953,0.97,0.479,0.237
1.952,0.97,0.479,0.237
1.948,0.97,0.479,0.237
0.958,0.97,0.479,0.237
1.953,0.97,0.479,0.237
1.948,0.97,0.479,0.237
1.952,0.97,0.479,0.237
0.942,0.97,0.479,0.237
1.948,0.97,0.479,0.237
1.948,0.97,0.479,0.237
0.95,0.97,0.479,0.237
1.94,0.97,0.479,0.237
1.948,0.97,0.479,0.237
0.945,0.97,0.479,0.237
1.952,0.97,0.479,0.237
0.941,0.97,0.479,0.237
1.953,0.97,0.479,0.237
1.948,0.97,0.479,0.237
1.948,0.97,0.479,0.237
0.937,0.97,0.479,0.237
1.948,0.97,0.479,0.237
1.952,0.97,0.479,0.237
0.95,0.97,0.479,0.237
1.943,0.97,0.479,0.237
1.952,0.97,0.479,0.237
0.945,0.97,0.479,0.237
1.948,0.97,0.479,0.237
1.952,0.97,0.479,0.237
0.95,0.97,0.479,0.237
1.948,0.97,0.479,0.237
0.962,0.97,0.479,0.237
1.952,0.97,0.479,0.237
1.948,0.97,0.479,0.237
0.963,0.97,0.479,0.237
1.944,0.97,0.479,0.237
1.952,0.97,0.479,0.237
1.951,0.97,0.479,0.237
1.952,0.97,0.479,0.237
1.952,0.97,0.479,0.237
1.952,0.97,0.479,0.237
0.946,0.97,0.479,0.237
1.953,0.97,0.479,0.237
1.948,0.97,0.479,0.237
1.951,0.97,0.479,0.237
1.952,0.97,0.479,0.237
0.955,0.97,0.479,0.237
1.944,0.97,0.479,0.237
0.954,0.97,0.479,0.237
1.956,0.97,0.479,0.237
0.945,0.97,0.479,0.237
1.948,0.97,0.479,0.237
1.951,0.97,0.479,0.237
1.952,0.97,0.479,0.237
1.952,0.97,0.479,0.237
1.952,0.97,0.479,0.237
1.951,0.97,0.479,0.237
