3.0m_0deg,2.0m_0deg,1.0m_0deg,0.5m_0deg,0.25m_0deg
2.955,1.972,0.984,0.486,0.256
2.954,1.971,0.985,0.485,0.256
2.955,1.971,0.985,0.486,0.256
2.954,1.972,0.985,0.485,0.256
2.956,1.97,0.985,0.487,0.256
2.955,1.971,0.985,0.484,0.256
2.957,1.972,0.984,0.486,0.256
2.955,1.97,0.985,0.485,0.256
2.956,1.972,0.985,0.487,0.256
2.956,1.972,0.984,0.485,0.256
2.957,1.97,0.985,0.487,0.254
2.955,1.972,0.984,0.485,0.256
2.954,1.971,0.984,0.487,0.254
2.957,1.973,0.985,0.485,0.256
2.953,1.972,0.985,0.486,0.254
2.955,1.972,0.985,0.484,0.256
2.955,1.971,0.984,0.487,0.254
2.955,1.971,0.985,0.484,0.256
2.955,1.971,0.985,0.487,0.254
2.954,1.971,0.985,0.485,0.256
2.956,1.97,0.985,0.487,0.254
2.956,1.97,0.985,0.485,0.256
2.956,1.97,0.985,0.487,0.254
2.956,1.972,0.985,0.486,0.256
2.955,1.97,0.985,0.484,0.256
2.956,1.971,0.984,0.487,0.256
2.957,1.972,0.984,0.485,0.256
2.957,1.972,0.984,0.487,0.256
2.956,1.97,0.984,0.485,0.256
2.957,1.97,0.984,0.486,0.256
2.956,1.974,0.984,0.485,0.256
2.957,1.971,0.985,0.487,0.256
2.956,1.97,0.985,0.485,0.256
2.956,1.972,0.985,0.486,0.256
2.956,1.971,0.985,0.485,0.256
2.957,1.972,0.986,0.487,0.256
2.957,1.971,0.984,0.485,0.256
2.957,1.97,0.985,0.487,0.256
2.958,1.971,0.984,0.485,0.256
2.955,1.97,0.987,0.487,0.256
2.956,1.97,0.985,0.485,0.256
2.957,1.972,0.984,0.486,0.254
2.958,1.972,0.984,0.485,0.256
2.958,1.973,0.984,0.487,0.254
2.955,1.973,0.984,0.485,0.256
2.955,1.972,0.984,0.487,0.254
2.958,1.972,0.985,0.485,0.256
2.957,1.972,0.985,0.487,0.254
2.957,1.971,0.984,0.485,0.256
2.958,1.97,0.984,0.487,0.254
2.956,1.972,0.984,0.485,0.256
2.955,1.971,0.985,0.487,0.254
2.957,1.973,0.985,0.484,0.256
2.957,1.972,0.985,0.487,0.254
2.96,1.971,0.985,0.485,0.256
2.957,1.971,0.985,0.485,0.256
2.957,1.97,0.985,0.487,0.256
2.957,1.971,0.985,0.485,0.256
2.957,1.971,0.985,0.487,0.256
2.955,1.972,0.985,0.486,0.256
2.958,1.972,0.985,0.488,0.256
2.957,1.972,0.985,0.486,0.256
2.957,1.972,0.985,0.488,0.256
2.958,1.973,0.985,0.486,0.256
2.958,1.973,0.985,0.488,0.256
2.956,1.973,0.985,0.486,0.256
2.956,1.972,0.984,0.487,0.254
2.957,1.971,0.984,0.487,0.256
2.957,1.973,0.984,0.485,0.256
2.958,1.972,0.984,0.487,0.256
2.957,1.972,0.985,0.485,0.256
2.958,1.972,0.985,0.487,0.256
2.956,1.971,0.985,0.485,0.256
2.957,1.971,0.985,0.487,0.256
2.958,1.972,0.985,0.485,0.256
2.958,1.97,0.985,0.487,0.256
2.955,1.971,0.985,0.485,0.254
2.957,1.971,0.985,0.487,0.256
2.956,1.97,0.986,0.485,0.254
2.957,1.97,0.985,0.486,0.256
2.954,1.97,0.985,0.487,0.254
2.955,1.972,0.985,0.485,0.256
2.955,1.972,0.985,0.487,0.254
2.956,1.972,0.985,0.485,0.256
2.959,1.972,0.985,0.487,0.254
2.956,1.973,0.985,0.485,0.256
2.957,1.973,0.985,0.488,0.254
2.957,1.971,0.985,0.486,0.256
2.956,1.972,0.985,0.486,0.254
2.956,1.972,0.985,0.485,0.256
2.956,1.973,0.985,0.487,0.254
2.956,1.971,0.985,0.485,0.256
2.956,1.972,0.985,0.487,0.254
2.956,1.972,0.985,0.485,0.256
2.955,1.97,0.985,0.487,0.254
2.954,1.972,0.986,0.485,0.256
2.955,1.972,0.986,0.487,0.254
2.955,1.972,0.985,0.485,0.256
2.954,1.973,0.985,0.487,0.254
2.955,1.972,0.985,0.485,0.256
2.955,1.973,0.985,0.487,0.254
2.958,1.973,0.985,0.487,0.256
2.958,1.972,0.985,0.485,0.256
2.958,1.972,0.985,0.487,0.256
2.957,1.972,0.985,0.485,0.256
2.956,1.973,0.985,0.487,0.256
2.956,1.972,0.985,0.485,0.256
2.956,1.971,0.985,0.487,0.256
2.956,1.973,0.985,0.485,0.256
2.955,1.972,0.985,0.487,0.256
2.957,1.972,0.986,0.485,0.256
2.956,1.972,0.985,0.486,0.256
2.956,1.972,0.985,0.485,0.256
2.957,1.973,0.985,0.487,0.256
2.957,1.973,0.985,0.484,0.256
2.955,1.973,0.985,0.488,0.256
2.956,1.972,0.985,0.486,0.256
2.956,1.972,0.985,0.488,0.256
2.955,1.973,0.986,0.485,0.256
2.957,1.972,0.985,0.487,0.256
2.957,1.973,0.985,0.486,0.256
2.957,1.971,0.984,0.488,0.254
2.954,1.972,0.985,0.486,0.256
2.957,1.972,0.985,0.488,0.254
