0.25m_0deg,0.5m_0deg,1m_0deg,2m_0deg
0.244,0.496,0.992,1.975
0.246,0.494,0.993,1.975
0.244,0.497,0.993,1.975
0.246,0.494,0.993,1.976
0.244,0.498,0.993,1.977
0.246,0.495,0.993,1.977
0.244,0.497,0.992,1.976
0.245,0.496,0.994,1.977
0.246,0.496,0.992,1.976
0.246,0.495,0.994,1.975
0.245,0.498,0.992,1.976
0.246,0.496,0.993,1.975
0.245,0.497,0.993,1.975
0.244,0.496,0.994,1.976
0.246,0.497,0.993,1.976
0.244,0.494,0.994,1.977
0.246,0.497,0.994,1.978
0.244,0.495,0.994,1.977
0.246,0.496,0.994,1.979
0.244,0.494,0.993,1.977
0.245,0.496,0.994,1.976
0.245,0.495,0.993,1.976
0.246,0.496,0.994,1.978
0.246,0.494,0.994,1.976
0.246,0.496,0.992,1.976
0.246,0.495,0.993,1.975
0.246,0.496,0.992,1.976
0.246,0.495,0.994,1.976
0.245,0.495,0.992,1.976
0.246,0.496,0.994,1.975
0.246,0.495,0.994,1.976
0.246,0.497,0.992,1.977
0.246,0.495,0.994,1.975
0.246,0.498,0.994,1.973
0.246,0.495,0.995,1.975
0.246,0.497,0.994,1.974
0.246,0.494,0.994,1.975
0.246,0.497,0.994,1.975
0.246,0.494,0.994,1.977
0.246,0.496,0.993,1.976
0.244,0.495,0.994,1.975
0.246,0.497,0.993,1.977
0.244,0.495,0.993,1.976
0.246,0.497,0.993,1.977
0.244,0.496,0.993,1.976
0.246,0.498,0.993,1.976
0.244,0.495,0.994,1.976
0.246,0.497,0.993,1.975
0.244,0.496,0.993,1.977
0.246,0.497,0.994,1.976
0.244,0.495,0.993,1.975
0.246,0.497,0.992,1.976
0.244,0.498,0.994,1.976
0.245,0.496,0.994,1.976
0.244,0.497,0.994,1.975
0.246,0.496,0.992,1.978
0.244,0.497,0.992,1.975
0.246,0.496,0.993,1.976
0.246,0.498,0.993,1.976
0.246,0.496,0.994,1.975
0.245,0.497,0.994,1.975
0.245,0.496,0.994,1.977
0.246,0.498,0.992,1.976
0.246,0.496,0.993,1.976
0.246,0.497,0.992,1.977
0.245,0.495,0.992,1.976
0.245,0.497,0.992,1.977
0.244,0.495,0.992,1.977
0.246,0.497,0.994,1.976
0.244,0.495,0.993,1.976
0.246,0.497,0.993,1.976
0.244,0.495,0.994,1.976
0.246,0.498,0.993,1.976
0.244,0.495,0.993,1.978
0.247,0.497,0.993,1.978
0.245,0.496,0.994,1.979
0.246,0.497,0.993,1.978
0.247,0.495,0.993,1.978
0.245,0.498,0.994,1.978
0.247,0.495,0.993,1.979
0.247,0.494,0.994,1.979
0.246,0.497,0.993,1.979
0.244,0.495,0.993,1.979
0.245,0.497,0.993,1.98
0.244,0.495,0.994,1.978
0.245,0.497,0.994,1.978
0.244,0.495,0.993,1.978
0.246,0.497,0.994,1.977
0.244,0.495,0.993,1.978
0.246,0.497,0.993,1.98
0.244,0.495,0.994,1.978
0.246,0.496,0.993,1.978
0.246,0.495,0.993,1.978
0.246,0.496,0.993,1.979
0.246,0.497,0.994,1.977
0.245,0.495,0.993,1.977
0.246,0.497,0.994,1.976
0.246,0.494,0.994,1.976
0.245,0.497,0.994,1.976
0.245,0.495,0.994,1.977
0.247,0.497,0.994,1.976
0.245,0.495,0.993,1.977
0.247,0.497,0.994,1.976
0.245,0.495,0.994,1.976
0.247,0.497,0.993,1.977
0.245,0.496,0.993,1.977
0.247,0.497,0.992,1.976
0.247,0.495,0.993,1.977
0.247,0.497,0.993,1.976
0.247,0.497,0.994,1.977
0.247,0.495,0.994,1.976
0.247,0.497,0.993,1.976
0.247,0.495,0.994,1.976
0.246,0.497,0.994,1.976
0.246,0.496,0.993,1.975
0.246,0.497,0.993,1.976
0.244,0.495,0.993,1.976
0.246,0.497,0.993,1.976
0.244,0.495,0.993,1.977
0.245,0.496,0.994,1.975
0.244,0.495,0.994,1.975
0.246,0.497,0.994,1.974
0.244,0.496,0.994,1.976
0.246,0.497,0.994,1.976
0.244,0.494,0.993,1.976
0.246,0.497,0.993,1.977
0.244,0.495,0.994,1.977
0.246,0.497,0.993,1.977
0.244,0.497,0.993,1.978
0.246,0.495,0.994,1.976
0.246,0.497,0.994,1.977
0.246,0.495,0.994,1.976
0.246,0.497,0.993,1.977
0.246,0.495,0.993,1.976
0.245,0.497,0.994,1.977
0.245,0.495,0.994,1.977
0.246,0.497,0.993,1.977
0.246,0.495,0.994,1.975
0.246,0.497,0.993,1.976
0.244,0.495,0.993,1.975
0.246,0.497,0.993,1.976
0.244,0.495,0.993,1.975
0.246,0.495,0.993,1.974
0.244,0.497,0.992,1.975
0.246,0.496,0.993,1.975
0.244,0.497,0.994,1.976
0.246,0.496,0.994,1.976
0.244,0.497,0.993,1.974
0.246,0.495,0.993,1.976
0.245,0.497,0.994,1.974
0.246,0.495,0.993,1.976
0.246,0.497,0.993,1.975
0.246,0.495,0.993,1.976
0.246,0.497,0.993,1.975
0.246,0.495,0.993,1.974
0.246,0.497,0.993,1.976
0.246,0.495,0.993,1.976
0.246,0.497,0.993,1.976
0.246,0.496,0.993,1.975
0.246,0.497,0.994,1.975
0.245,0.495,0.994,1.974
0.246,0.497,0.993,1.975
0.244,0.495,0.993,1.974
0.246,0.497,0.993,1.975
0.244,0.497,0.993,1.976
0.246,0.495,0.994,1.978
0.244,0.497,0.995,1.976
0.246,0.496,0.993,1.979
0.244,0.497,0.993,1.977
0.246,0.496,0.993,1.977
0.244,0.497,0.993,1.976
0.246,0.495,0.993,1.978
0.244,0.497,0.993,1.978
0.246,0.496,0.993,1.977
0.247,0.497,0.993,1.977
0.247,0.495,0.993,1.975
0.247,0.497,0.994,1.976
0.247,0.496,0.994,1.976
0.247,0.497,0.994,1.975
0.247,0.495,0.994,1.975
0.247,0.497,0.994,1.976
0.247,0.495,0.993,1.975
0.247,0.497,0.993,1.975
0.245,0.495,0.994,1.975
0.247,0.497,0.993,1.976
0.245,0.496,0.994,1.976
0.246,0.498,0.994,1.976
0.245,0.495,0.994,1.976
0.246,0.497,0.993,1.978
0.246,0.495,0.994,1.977
0.247,0.497,0.994,1.976
0.246,0.495,0.993,1.978
0.245,0.498,0.994,1.977
0.246,0.495,0.994,1.976
0.246,0.497,0.994,1.976
0.246,0.495,0.994,1.976
0.244,0.497,0.993,1.977
0.246,0.495,0.994,1.976
0.244,0.497,0.993,1.976
0.245,0.495,0.994,1.976
