0.25m_0deg,0.5m_0deg,1m_0deg,2m_0deg
0.247,0.499,0.99,1.984
0.246,0.501,0.99,1.982
0.248,0.499,0.991,1.982
0.246,0.501,0.99,1.983
0.248,0.499,0.99,1.982
0.248,0.501,0.99,1.984
0.248,0.499,0.99,1.984
0.248,0.501,0.99,1.983
0.248,0.499,0.99,1.983
0.248,0.501,0.991,1.983
0.248,0.5,0.99,1.982
0.248,0.499,0.99,1.983
0.246,0.501,0.99,1.983
0.248,0.498,0.99,1.983
0.246,0.5,0.99,1.982
0.248,0.498,0.99,1.982
0.246,0.5,0.99,1.983
0.248,0.498,0.99,1.983
0.248,0.501,0.99,1.983
0.248,0.498,0.99,1.982
0.248,0.501,0.99,1.982
0.248,0.5,0.99,1.983
0.248,0.501,0.989,1.982
0.246,0.499,0.991,1.983
0.248,0.501,0.99,1.984
0.246,0.5,0.989,1.983
0.248,0.501,0.989,1.983
0.246,0.501,0.99,1.982
0.248,0.5,0.989,1.982
0.248,0.501,0.99,1.982
0.248,0.499,0.989,1.981
0.248,0.501,0.99,1.983
0.248,0.499,0.99,1.982
0.248,0.501,0.99,1.983
0.248,0.499,0.99,1.984
0.248,0.501,0.991,1.982
0.248,0.5,0.99,1.983
0.248,0.501,0.99,1.984
0.246,0.499,0.989,1.984
0.248,0.501,0.99,1.984
0.246,0.501,0.991,1.984
0.247,0.499,0.99,1.984
0.246,0.501,0.991,1.984
0.248,0.499,0.99,1.983
0.248,0.501,0.991,1.983
0.248,0.499,0.991,1.983
0.248,0.501,0.991,1.983
0.248,0.499,0.99,1.983
0.248,0.501,0.991,1.983
0.248,0.5,0.99,1.983
0.248,0.499,0.99,1.984
0.246,0.501,0.99,1.982
0.247,0.5,0.99,1.983
0.246,0.501,0.989,1.983
0.248,0.499,0.99,1.984
0.248,0.501,0.99,1.983
0.247,0.499,0.99,1.983
0.248,0.501,0.99,1.983
0.248,0.499,0.991,1.983
0.248,0.499,0.989,1.983
0.248,0.501,0.991,1.983
0.248,0.5,0.991,1.983
0.246,0.501,0.991,1.983
0.248,0.499,0.99,1.983
0.246,0.501,0.991,1.982
0.247,0.499,0.991,1.982
0.246,0.501,0.991,1.983
0.248,0.501,0.991,1.983
0.248,0.499,0.99,1.982
0.248,0.501,0.99,1.983
0.248,0.499,0.99,1.982
0.247,0.501,0.989,1.983
0.248,0.499,0.989,1.983
0.246,0.501,0.99,1.982
0.248,0.501,0.991,1.982
0.248,0.499,0.99,1.983
0.247,0.501,0.99,1.982
0.247,0.499,0.99,1.982
0.248,0.501,0.99,1.984
0.248,0.5,0.989,1.982
0.246,0.501,0.99,1.982
0.247,0.501,0.991,1.983
0.248,0.499,0.99,1.983
0.248,0.502,0.99,1.983
0.248,0.5,0.99,1.982
0.248,0.502,0.99,1.983
0.248,0.499,0.99,1.982
0.248,0.501,0.992,1.982
0.247,0.5,0.991,1.983
0.246,0.5,0.991,1.982
0.248,0.502,0.991,1.983
0.246,0.5,0.992,1.983
0.248,0.501,0.991,1.984
0.248,0.5,0.991,1.982
0.248,0.502,0.99,1.981
0.248,0.5,0.99,1.982
0.248,0.502,0.99,1.982
0.248,0.501,0.99,1.982
0.246,0.5,0.99,1.982
0.248,0.501,0.99,1.982
0.246,0.5,0.99,1.982
0.248,0.502,0.99,1.982
0.248,0.5,0.99,1.982
0.248,0.502,0.99,1.981
0.248,0.502,0.989,1.982
0.248,0.5,0.99,1.982
0.248,0.502,0.99,1.983
0.246,0.5,0.99,1.982
0.247,0.502,0.99,1.983
0.246,0.5,0.991,1.983
0.248,0.502,0.99,1.982
0.248,0.502,0.99,1.981
0.248,0.5,0.99,1.982
0.248,0.502,0.991,1.982
0.245,0.5,0.99,1.983
0.248,0.502,0.99,1.982
0.248,0.5,0.99,1.983
0.248,0.502,0.99,1.982
0.247,0.5,0.99,1.982
0.246,0.499,0.99,1.981
0.247,0.502,0.991,1.983
0.246,0.5,0.992,1.983
0.248,0.502,0.991,1.983
0.248,0.501,0.991,1.983
0.248,0.501,0.991,1.983
0.248,0.5,0.992,1.983
0.246,0.501,0.99,1.983
0.248,0.502,0.99,1.982
0.247,0.5,0.99,1.984
0.247,0.502,0.99,1.983
0.248,0.5,0.991,1.982
0.248,0.502,0.99,1.981
0.248,0.499,0.99,1.981
0.246,0.502,0.991,1.983
0.248,0.502,0.991,1.982
0.246,0.5,0.991,1.982
0.247,0.501,0.99,1.982
0.248,0.5,0.99,1.982
0.247,0.501,0.991,1.983
0.248,0.5,0.99,1.982
0.246,0.502,0.99,1.982
0.248,0.502,0.99,1.982
0.246,0.5,0.99,1.982
0.248,0.502,0.99,1.981
0.248,0.5,0.991,1.981
0.247,0.502,0.99,1.982
0.248,0.5,0.99,1.983
0.248,0.502,0.99,1.982
0.248,0.501,0.99,1.983
0.246,0.5,0.99,1.982
0.248,0.502,0.99,1.981
0.246,0.5,0.99,1.983
0.248,0.502,0.99,1.983
0.247,0.499,0.991,1.982
0.248,0.501,0.99,1.982
0.248,0.502,0.991,1.982
0.246,0.499,0.991,1.982
0.248,0.501,0.991,1.983
0.246,0.5,0.99,1.981
0.248,0.501,0.992,1.983
0.248,0.5,0.99,1.981
0.247,0.502,0.99,1.981
0.247,0.501,0.99,1.981
0.246,0.5,0.99,1.982
0.247,0.501,0.991,1.982
0.245,0.499,0.99,1.982
0.248,0.501,0.99,1.982
0.248,0.499,0.99,1.983
0.247,0.501,0.99,1.983
0.248,0.501,0.99,1.983
0.248,0.499,0.99,1.983
0.248,0.501,0.99,1.982
0.246,0.5,0.99,1.982
0.248,0.502,0.99,1.982
0.248,0.499,0.99,1.982
0.248,0.502,0.99,1.982
0.247,0.5,0.99,1.982
0.248,0.499,0.99,1.982
0.248,0.501,0.991,1.982
0.248,0.499,0.99,1.983
0.248,0.501,0.99,1.983
0.246,0.5,0.99,1.983
0.248,0.501,0.99,1.983
0.246,0.499,0.991,1.984
0.248,0.499,0.991,1.984
0.246,0.501,0.991,1.983
0.248,0.5,0.991,1.983
0.246,0.501,0.99,1.983
0.248,0.5,0.992,1.981
0.248,0.502,0.991,1.983
0.248,0.499,0.99,1.983
0.248,0.5,0.99,1.983
0.248,0.501,0.99,1.984
0.248,0.5,0.99,1.983
0.248,0.502,0.99,1.984
0.248,0.5,0.991,1.986
0.246,0.502,0.99,1.983
0.248,0.5,0.99,1.982
0.246,0.502,0.99,1.983
0.248,0.501,0.991,1.984
