2m_0deg,1m_0deg,0.5m_0deg,0.25m_0deg
1.982,0.991,0.497,0.243
1.982,0.991,0.499,0.243
1.983,0.991,0.496,0.243
1.982,0.991,0.498,0.241
1.982,0.992,0.497,0.243
1.982,0.992,0.496,0.243
1.983,0.992,0.498,0.243
1.983,0.992,0.496,0.243
1.982,0.992,0.498,0.241
1.982,0.992,0.496,0.243
1.982,0.991,0.498,0.241
1.983,0.992,0.496,0.243
1.982,0.992,0.498,0.243
1.983,0.992,0.498,0.243
1.983,0.992,0.496,0.243
1.983,0.992,0.498,0.241
1.982,0.991,0.496,0.242
1.981,0.992,0.499,0.241
1.982,0.992,0.497,0.243
1.981,0.992,0.499,0.243
1.98,0.992,0.499,0.241
1.982,0.992,0.497,0.243
1.982,0.992,0.499,0.243
1.982,0.992,0.497,0.243
1.981,0.992,0.499,0.243
1.982,0.992,0.498,0.241
1.981,0.992,0.499,0.243
1.982,0.992,0.497,0.243
1.982,0.992,0.499,0.243
1.983,0.992,0.497,0.243
1.983,0.992,0.499,0.241
1.982,0.991,0.499,0.243
1.982,0.992,0.497,0.241
1.982,0.991,0.499,0.243
1.982,0.992,0.497,0.243
1.983,0.992,0.499,0.241
1.983,0.992,0.497,0.243
1.983,0.992,0.499,0.243
1.983,0.992,0.497,0.243
1.983,0.992,0.499,0.243
1.984,0.992,0.497,0.241
1.983,0.992,0.499,0.243
1.984,0.992,0.497,0.241
1.983,0.992,0.497,0.243
1.985,0.992,0.499,0.243
1.984,0.992,0.497,0.241
1.984,0.992,0.498,0.242
1.984,0.992,0.498,0.241
1.982,0.992,0.499,0.243
1.983,0.993,0.497,0.243
1.983,0.992,0.499,0.241
1.983,0.992,0.497,0.243
1.982,0.992,0.499,0.241
1.983,0.992,0.497,0.243
1.983,0.992,0.497,0.242
1.983,0.992,0.499,0.24
1.982,0.992,0.497,0.243
1.982,0.992,0.499,0.243
1.983,0.992,0.497,0.243
1.982,0.992,0.499,0.243
1.982,0.991,0.497,0.24
1.982,0.992,0.499,0.243
1.983,0.992,0.499,0.243
1.983,0.992,0.497,0.241
1.983,0.993,0.499,0.243
1.983,0.992,0.497,0.241
1.983,0.992,0.499,0.243
1.983,0.992,0.497,0.243
1.983,0.992,0.499,0.241
1.983,0.992,0.497,0.243
1.983,0.991,0.497,0.241
1.982,0.992,0.499,0.243
1.982,0.992,0.497,0.243
1.982,0.992,0.499,0.243
1.983,0.992,0.497,0.243
1.982,0.992,0.499,0.241
1.983,0.992,0.499,0.243
1.983,0.992,0.497,0.243
1.981,0.992,0.499,0.243
1.983,0.992,0.497,0.243
1.982,0.992,0.499,0.241
1.983,0.992,0.497,0.243
1.982,0.993,0.497,0.243
1.982,0.992,0.499,0.241
1.982,0.991,0.497,0.243
1.983,0.992,0.499,0.241
1.982,0.992,0.497,0.243
1.983,0.992,0.499,0.243
1.983,0.992,0.499,0.243
1.984,0.992,0.497,0.243
1.983,0.992,0.499,0.241
1.982,0.992,0.497,0.243
1.983,0.992,0.497,0.241
1.982,0.992,0.499,0.243
1.982,0.992,0.497,0.243
1.981,0.992,0.499,0.243
1.983,0.992,0.497,0.243
1.982,0.993,0.5,0.243
1.982,0.992,0.499,0.243
1.982,0.991,0.497,0.241
1.983,0.992,0.499,0.243
1.982,0.992,0.497,0.241
1.982,0.992,0.499,0.243
1.981,0.992,0.499,0.243
1.982,0.993,0.498,0.24
1.983,0.992,0.499,0.243
1.982,0.993,0.497,0.24
1.983,0.992,0.5,0.242
1.983,0.992,0.497,0.242
1.982,0.992,0.499,0.242
1.982,0.992,0.499,0.242
1.983,0.992,0.497,0.243
1.982,0.992,0.499,0.243
1.983,0.992,0.497,0.24
1.98,0.992,0.499,0.242
1.983,0.992,0.497,0.241
1.982,0.992,0.499,0.243
1.982,0.992,0.499,0.243
1.982,0.992,0.497,0.243
1.982,0.992,0.499,0.243
1.982,0.991,0.497,0.241
1.98,0.992,0.499,0.243
1.982,0.992,0.499,0.243
1.982,0.992,0.497,0.243
1.982,0.991,0.499,0.243
1.983,0.992,0.497,0.241
1.982,0.992,0.499,0.243
1.983,0.992,0.497,0.241
1.984,0.992,0.497,0.243
1.982,0.992,0.499,0.243
1.983,0.992,0.497,0.243
1.982,0.992,0.499,0.243
1.983,0.992,0.497,0.241
1.984,0.993,0.499,0.243
1.982,0.992,0.497,0.243
1.983,0.992,0.499,0.243
1.984,0.992,0.499,0.243
1.982,0.992,0.497,0.241
1.983,0.991,0.499,0.243
1.983,0.992,0.497,0.241
1.983,0.992,0.499,0.242
1.984,0.992,0.497,0.243
1.984,0.992,0.499,0.243
1.983,0.992,0.497,0.243
1.983,0.992,0.497,0.243
1.984,0.992,0.499,0.243
1.984,0.992,0.497,0.241
1.984,0.992,0.499,0.243
1.984,0.992,0.497,0.243
1.983,0.992,0.499,0.243
1.983,0.992,0.497,0.243
1.982,0.991,0.497,0.241
1.983,0.992,0.499,0.242
1.983,0.992,0.497,0.243
1.984,0.994,0.499,0.243
1.983,0.991,0.498,0.243
1.984,0.991,0.5,0.241
1.985,0.991,0.497,0.243
1.983,0.991,0.499,0.243
1.983,0.992,0.497,0.243
1.983,0.991,0.499,0.243
1.983,0.991,0.499,0.241
1.983,0.992,0.497,0.243
1.982,0.991,0.499,0.241
1.983,0.993,0.497,0.243
1.982,0.992,0.499,0.243
1.983,0.992,0.497,0.243
1.983,0.992,0.499,0.243
1.982,0.991,0.499,0.241
1.983,0.992,0.497,0.243
1.984,0.993,0.499,0.243
1.983,0.992,0.497,0.243
1.983,0.992,0.499,0.243
1.983,0.991,0.499,0.241
1.983,0.991,0.497,0.243
