2m_0deg,1m_0deg,0.5m_0deg,0.25m_0deg
1.99,0.99,0.47,0.24
2.0,0.99,0.47,0.24
2.0,0.99,0.47,0.24
2.0,0.99,0.47,0.24
1.99,0.99,0.47,0.24
1.99,0.99,0.47,0.24
2.0,0.99,0.47,0.24
2.0,0.99,0.47,0.24
2.0,0.99,0.47,0.24
1.99,0.99,0.47,0.24
2.0,0.99,0.47,0.24
2.0,0.99,0.47,0.24
2.0,0.99,0.47,0.24
1.99,0.99,0.47,0.24
2.0,0.99,0.47,0.24
2.0,0.99,0.47,0.24
2.0,0.99,0.47,0.24
2.0,0.99,0.47,0.24
2.0,0.99,0.47,0.24
2.0,0.99,0.47,0.24
2.0,0.99,0.47,0.24
2.0,0.99,0.47,0.24
2.0,0.99,0.47,0.24
2.0,0.99,0.47,0.24
1.99,0.99,0.47,0.24
2.0,0.99,0.47,0.24
2.0,0.99,0.47,0.24
2.0,0.99,0.47,0.24
2.0,0.99,0.47,0.24
2.0,0.99,0.47,0.24
2.0,0.99,0.47,0.24
2.0,0.99,0.47,0.24
2.0,0.99,0.47,0.24
2.0,0.99,0.47,0.24
2.0,0.99,0.47,0.24
2.0,0.99,0.47,0.24
2.0,0.99,0.47,0.24
2.0,0.99,0.47,0.24
2.0,0.99,0.47,0.24
2.0,0.99,0.47,0.24
2.0,0.99,0.47,0.24
2.0,0.99,0.47,0.24
2.0,0.99,0.47,0.24
2.0,0.99,0.47,0.24
2.0,0.99,0.47,0.24
2.0,0.99,0.47,0.24
2.0,0.99,0.47,0.24
2.0,0.99,0.47,0.24
2.0,0.99,0.47,0.24
2.0,0.99,0.47,0.24
2.0,0.99,0.47,0.24
2.0,0.99,0.47,0.24
2.0,0.99,0.47,0.24
2.0,0.99,0.47,0.24
2.0,0.99,0.47,0.24
2.0,0.99,0.47,0.24
2.0,0.99,0.47,0.24
2.0,0.99,0.47,0.24
2.0,0.99,0.47,0.24
2.0,0.99,0.47,0.24
2.0,0.99,0.47,0.24
2.0,0.99,0.47,0.24
2.0,0.99,0.47,0.24
2.0,0.99,0.47,0.24
2.0,0.99,0.47,0.24
2.0,0.99,0.47,0.24
2.0,0.99,0.47,0.24
2.0,0.99,0.47,0.24
2.0,0.99,0.47,0.24
2.0,0.99,0.47,0.24
2.0,0.99,0.47,0.24
2.0,0.99,0.47,0.24
2.0,0.99,0.47,0.24
2.0,0.99,0.47,0.24
2.0,0.99,0.47,0.24
2.0,0.99,0.47,0.24
2.0,0.99,0.47,0.24
2.0,0.99,0.47,0.24
2.0,0.99,0.47,0.24
2.0,0.99,0.47,0.24
2.0,0.99,0.47,0.24
2.0,0.99,0.47,0.24
2.0,0.99,0.47,0.24
2.0,0.99,0.47,0.24
2.0,0.99,0.47,0.24
2.0,0.99,0.47,0.24
2.0,0.99,0.47,0.24
2.0,0.99,0.47,0.24
2.0,0.99,0.47,0.24
2.0,0.99,0.47,0.24
2.0,0.99,0.47,0.24
2.0,0.99,0.47,0.24
2.0,0.99,0.47,0.24
2.0,0.99,0.47,0.24
2.0,0.99,0.47,0.24
2.0,0.99,0.47,0.24
2.0,0.99,0.47,0.24
2.0,0.99,0.47,0.24
2.0,0.99,0.47,0.24
2.0,0.99,0.47,0.24
2.0,0.99,0.47,0.24
2.0,0.99,0.47,0.24
2.0,0.99,0.47,0.24
2.0,0.99,0.47,0.24
2.0,0.99,0.47,0.24
2.0,0.99,0.47,0.24
2.0,0.99,0.47,0.24
2.0,0.99,0.47,0.24
2.0,0.98,0.47,0.24
2.0,0.99,0.47,0.24
2.0,0.99,0.47,0.24
2.0,0.99,0.47,0.24
2.0,0.99,0.47,0.24
2.0,0.99,0.47,0.24
2.0,0.99,0.47,0.24
2.0,0.99,0.47,0.24
2.0,0.99,0.47,0.24
2.0,0.99,0.47,0.24
2.0,0.99,0.47,0.24
2.0,0.99,0.47,0.24
2.0,0.99,0.47,0.24
2.0,0.99,0.47,0.24
2.0,0.98,0.47,0.24
2.0,0.99,0.47,0.24
2.0,0.99,0.47,0.24
2.0,0.98,0.47,0.24
2.0,0.98,0.47,0.24
2.0,0.99,0.47,0.24
2.0,0.99,0.47,0.24
2.0,0.99,0.47,0.24
2.0,0.99,0.47,0.24
2.0,0.99,0.47,0.24
2.0,0.98,0.47,0.24
2.0,0.99,0.47,0.24
2.0,0.99,0.47,0.24
2.0,0.99,0.47,0.24
2.0,0.99,0.47,0.24
2.0,0.99,0.47,0.24
2.0,0.99,0.47,0.24
2.0,0.99,0.47,0.24
2.0,0.99,0.47,0.24
2.0,0.99,0.47,0.24
2.0,0.99,0.47,0.24
2.0,0.99,0.47,0.24
2.0,0.99,0.47,0.24
2.0,0.99,0.47,0.24
2.0,0.99,0.47,0.24
2.0,0.99,0.47,0.24
2.0,0.99,0.47,0.24
2.0,0.99,0.47,0.24
2.0,0.99,0.47,0.24
2.0,0.99,0.47,0.24
2.0,0.99,0.47,0.24
2.0,0.99,0.47,0.24
2.0,0.99,0.47,0.24
2.0,0.99,0.47,0.24
2.0,0.99,0.47,0.24
2.0,0.99,0.47,0.24
2.0,0.99,0.47,0.24
2.0,0.99,0.47,0.24
2.0,0.99,0.47,0.24
2.0,0.98,0.47,0.24
2.0,0.99,0.47,0.24
2.0,0.99,0.47,0.24
2.0,0.98,0.47,0.24
2.0,0.99,0.47,0.24
2.0,0.99,0.47,0.24
2.0,0.98,0.47,0.24
2.0,0.99,0.47,0.24
2.0,0.98,0.47,0.24
2.0,0.99,0.47,0.24
2.0,0.99,0.47,0.24
2.0,0.99,0.47,0.24
2.0,0.99,0.47,0.24
2.0,0.99,0.47,0.24
2.0,0.99,0.47,0.24
2.0,0.99,0.47,0.24
2.0,0.99,0.47,0.24
2.0,0.99,0.47,0.24
2.0,0.99,0.47,0.24
2.0,0.99,0.47,0.24
2.0,0.99,0.47,0.24
2.0,0.99,0.47,0.24
2.0,0.99,0.47,0.24
2.0,0.98,0.48,0.24
2.0,0.99,0.47,0.24
2.0,0.98,0.47,0.24
2.01,0.99,0.47,0.24
2.0,0.99,0.47,0.24
2.01,0.98,0.47,0.24
2.01,0.99,0.47,0.24
2.0,0.99,0.47,0.24
2.0,0.99,0.47,0.24
2.0,0.99,0.47,0.24
2.0,0.99,0.47,0.24
2.0,0.98,0.47,0.24
2.01,0.99,0.47,0.24
2.01,0.98,0.47,0.24
2.01,0.99,0.47,0.24
2.01,0.99,0.47,0.24
