2m_0deg,1m_0deg,0.5m_0deg,0.25m_0deg
1.97,0.99,0.47,0.24
1.97,0.98,0.47,0.24
1.97,0.98,0.47,0.24
1.97,0.98,0.47,0.24
1.97,0.98,0.47,0.24
1.97,0.98,0.47,0.24
1.97,0.98,0.47,0.24
1.97,0.99,0.47,0.24
1.97,0.98,0.47,0.24
1.97,0.98,0.47,0.24
1.97,0.98,0.47,0.24
1.97,0.98,0.47,0.24
1.97,0.99,0.47,0.24
1.97,0.98,0.47,0.24
1.97,0.99,0.47,0.24
1.98,0.98,0.47,0.24
1.97,0.98,0.47,0.24
1.97,0.98,0.47,0.24
1.97,0.98,0.47,0.24
1.97,0.98,0.47,0.24
1.97,0.99,0.47,0.24
1.97,0.98,0.47,0.24
1.97,0.99,0.47,0.24
1.97,0.98,0.47,0.24
1.97,0.98,0.47,0.24
1.97,0.98,0.47,0.24
1.97,0.98,0.47,0.24
1.97,0.98,0.47,0.24
1.97,0.99,0.47,0.24
1.97,0.98,0.47,0.24
1.97,0.98,0.47,0.24
1.97,0.98,0.47,0.24
1.97,0.98,0.47,0.24
1.97,0.98,0.47,0.24
1.97,0.98,0.47,0.24
1.97,0.98,0.47,0.24
1.97,0.98,0.47,0.24
1.97,0.98,0.47,0.24
1.97,0.98,0.47,0.24
1.97,0.98,0.47,0.24
1.97,0.99,0.47,0.24
1.97,0.98,0.47,0.24
1.97,0.98,0.47,0.24
1.97,0.98,0.47,0.24
1.97,0.98,0.47,0.24
1.97,0.98,0.47,0.24
1.97,0.98,0.47,0.24
1.97,0.98,0.47,0.24
1.97,0.98,0.47,0.24
1.97,0.98,0.47,0.24
1.97,0.98,0.47,0.24
1.97,0.99,0.47,0.24
1.97,0.99,0.47,0.24
1.97,0.98,0.47,0.24
1.97,0.98,0.47,0.24
1.97,0.98,0.47,0.24
1.97,0.98,0.47,0.24
1.97,0.98,0.47,0.24
1.97,0.98,0.47,0.24
1.97,0.98,0.47,0.24
1.97,0.98,0.47,0.24
1.97,0.98,0.47,0.24
1.97,0.98,0.47,0.24
1.97,0.98,0.47,0.24
1.98,0.99,0.47,0.24
1.98,0.98,0.47,0.24
1.97,0.98,0.47,0.24
1.97,0.99,0.47,0.24
1.97,0.98,0.47,0.24
1.97,0.99,0.47,0.24
1.97,0.98,0.47,0.24
1.97,0.98,0.47,0.24
1.97,0.98,0.47,0.24
1.97,0.98,0.47,0.24
1.97,0.98,0.47,0.24
1.97,0.98,0.47,0.24
1.97,0.98,0.47,0.24
1.97,0.98,0.47,0.24
1.97,0.98,0.47,0.24
1.97,0.98,0.47,0.24
1.97,0.98,0.47,0.24
1.97,0.98,0.47,0.24
1.97,0.98,0.47,0.24
1.97,0.98,0.47,0.24
1.98,0.98,0.47,0.24
1.97,0.98,0.47,0.24
1.97,0.98,0.47,0.24
1.97,0.98,0.47,0.24
1.97,0.98,0.47,0.24
