1m_0deg,1m_22deg,1m_45deg,1m_67deg,1m_90deg,2m_90deg,2m_67deg,2m_45deg,2m_22deg,2m_0deg
0.837,0.656,0.729,0.829,0.752,3.668,3.667,3.663,3.664,1.968
0.704,0.921,0.854,0.749,0.83,3.664,3.666,3.663,3.664,1.968
0.837,0.66,0.733,0.825,0.752,3.664,3.666,3.668,3.664,1.967
0.704,0.92,0.85,0.748,0.83,3.663,3.666,3.667,3.664,1.967
0.837,0.66,0.737,0.829,0.752,3.669,3.666,3.663,3.664,1.967
0.704,0.916,0.846,0.744,0.827,3.669,3.666,3.663,3.664,1.967
0.837,0.664,0.737,0.829,0.756,3.668,3.666,3.663,3.664,1.967
0.704,0.912,0.845,0.749,0.823,3.669,3.666,3.663,3.664,1.967
0.837,0.664,0.737,0.828,0.759,3.668,3.666,3.663,3.664,1.967
0.7,0.912,0.846,0.749,0.823,3.668,3.666,3.663,3.668,1.967
0.84,0.669,0.736,0.828,0.76,3.664,3.666,3.663,3.668,1.968
0.7,0.912,0.846,0.749,0.819,3.668,3.666,3.664,3.664,1.968
0.841,0.664,0.736,0.823,0.764,3.667,3.667,3.663,3.668,1.968
0.696,0.912,0.847,0.749,0.814,3.668,3.666,3.664,3.668,1.968
0.841,0.673,0.733,0.827,0.765,3.664,3.666,3.663,3.664,1.967
0.7,0.908,0.85,0.749,0.818,3.668,3.666,3.663,3.668,1.967
0.841,0.669,0.732,0.827,0.764,3.668,3.666,3.663,3.668,1.967
0.7,0.908,0.851,0.749,0.814,3.668,3.666,3.663,3.668,1.967
0.837,0.669,0.732,0.827,0.768,3.668,3.67,3.663,3.668,1.967
0.703,0.908,0.851,0.75,0.814,3.664,3.666,3.663,3.664,1.967
0.834,0.669,0.732,0.823,0.768,3.668,3.67,3.663,3.668,1.967
0.703,0.908,0.851,0.75,0.815,3.668,3.666,3.663,3.668,1.967
0.834,0.668,0.732,0.826,0.763,3.664,3.67,3.663,3.664,1.967
0.703,0.912,0.847,0.746,0.815,3.664,3.666,3.663,3.668,1.968
0.838,0.668,0.731,0.831,0.768,3.668,3.666,3.668,3.668,1.967
0.699,0.912,0.851,0.746,0.814,3.668,3.666,3.664,3.668,1.967
0.838,0.669,0.731,0.827,0.764,3.668,3.67,3.663,3.668,1.967
0.698,0.912,0.851,0.75,0.814,3.668,3.662,3.667,3.668,1.967
0.842,0.664,0.727,0.823,0.769,3.668,3.666,3.663,3.668,1.967
0.695,0.917,0.855,0.75,0.814,3.668,3.666,3.667,3.668,1.967
0.842,0.681,0.722,0.823,0.769,3.664,3.666,3.667,3.668,1.967
0.695,0.9,0.861,0.754,0.818,3.668,3.666,3.667,3.672,1.967
0.842,0.681,0.722,0.823,0.764,3.668,3.666,3.663,3.664,1.968
0.695,0.9,0.861,0.754,0.818,3.668,3.662,3.667,3.668,1.968
0.842,0.681,0.722,0.823,0.764,3.668,3.666,3.668,3.668,1.967
0.695,0.9,0.861,0.754,0.818,3.664,3.666,3.663,3.672,1.967
0.842,0.681,0.722,0.819,0.765,3.664,3.661,3.667,3.668,1.967
0.695,0.895,0.861,0.754,0.817,3.664,3.666,3.668,3.672,1.967
0.842,0.681,0.722,0.823,0.766,3.664,3.666,3.668,3.668,1.967
0.695,0.9,0.861,0.754,0.812,3.663,3.666,3.668,3.668,1.967
0.842,0.681,0.722,0.819,0.771,3.667,3.666,3.663,3.668,1.967
0.695,0.9,0.861,0.759,0.808,3.664,3.666,3.667,3.668,1.967
0.842,0.676,0.722,0.818,0.774,3.667,3.67,3.668,3.664,1.967
0.695,0.901,0.861,0.755,0.809,3.664,3.662,3.667,3.672,1.968
0.842,0.68,0.726,0.822,0.774,3.668,3.666,3.663,3.668,1.968
0.699,0.897,0.861,0.751,0.806,3.668,3.666,3.667,3.668,1.967
0.842,0.683,0.726,0.826,0.778,3.668,3.666,3.667,3.668,1.968
0.695,0.897,0.86,0.751,0.805,3.668,3.666,3.663,3.668,1.968
0.842,0.683,0.722,0.827,0.778,3.668,3.666,3.667,3.668,1.967
0.695,0.893,0.865,0.75,0.805,3.668,3.666,3.667,3.668,1.967
0.842,0.683,0.717,0.827,0.774,3.668,3.666,3.667,3.668,1.967
0.695,0.897,0.866,0.746,0.81,3.664,3.666,3.668,3.672,1.967
0.842,0.678,0.721,0.827,0.777,3.668,3.666,3.664,3.668,1.967
0.695,0.898,0.862,0.75,0.805,3.668,3.666,3.667,3.668,1.967
0.841,0.678,0.72,0.826,0.781,3.668,3.666,3.667,3.668,1.968
0.7,0.898,0.862,0.746,0.797,3.672,3.666,3.663,3.668,1.968
0.837,0.678,0.72,0.826,0.786,3.668,3.666,3.667,3.668,1.968
0.704,0.902,0.867,0.75,0.793,3.668,3.665,3.663,3.668,1.968
0.833,0.678,0.72,0.826,0.786,3.668,3.67,3.667,3.668,1.968
0.707,0.898,0.863,0.75,0.801,3.668,3.665,3.667,3.668,1.967
0.829,0.683,0.72,0.827,0.781,3.668,3.666,3.664,3.668,1.967
0.708,0.894,0.863,0.746,0.801,3.669,3.666,3.664,3.669,1.967
0.833,0.683,0.72,0.831,0.778,3.668,3.67,3.664,3.673,1.967
