1m_0deg,1m_22deg,1m_45deg,1m_67deg,1m_90deg,2m_90deg,2m_67deg,2m_45deg,2m_22deg,2m_0deg
0.794,0.771,0.689,0.738,0.715,3.656,3.661,3.661,3.66,1.961
0.755,0.749,0.88,0.831,0.848,3.655,3.665,3.661,3.66,1.96
0.777,0.767,0.689,0.738,0.715,2.023,3.661,3.661,3.664,1.96
0.773,0.749,0.88,0.831,0.849,3.66,3.661,3.661,3.66,1.96
0.777,0.762,0.689,0.734,0.715,3.655,3.66,3.661,3.664,1.961
0.772,0.762,0.88,0.835,0.849,2.01,3.661,3.661,3.664,1.961
0.772,0.75,0.689,0.735,0.715,3.656,3.661,3.661,3.66,1.96
0.772,0.761,0.884,0.834,0.849,3.655,3.661,3.66,3.659,1.961
0.777,0.754,0.69,0.735,0.719,3.656,3.661,3.66,3.656,1.96
0.764,0.757,0.884,0.834,0.845,3.655,3.661,3.661,3.66,1.96
0.785,0.763,0.686,0.73,0.722,3.659,3.665,3.665,3.66,1.961
0.769,0.757,0.883,0.839,0.841,2.018,3.661,3.665,3.66,1.96
0.772,0.762,0.687,0.729,0.723,2.018,3.661,3.661,3.66,1.961
0.781,0.753,0.882,0.839,0.845,3.659,3.661,3.661,3.66,1.961
0.768,0.762,0.688,0.729,0.718,3.659,3.661,3.66,3.66,1.96
0.777,0.758,0.881,0.839,0.845,3.656,3.66,3.665,3.659,1.96
0.777,0.757,0.688,0.73,0.718,3.659,3.661,3.66,3.66,1.961
0.773,0.754,0.881,0.839,0.845,3.659,3.66,3.661,3.66,1.96
0.773,0.77,0.692,0.726,0.723,3.656,3.661,3.665,3.66,1.96
0.781,0.75,0.877,0.843,0.842,3.656,3.661,3.66,3.66,1.961
0.768,0.774,0.696,0.727,0.721,3.656,3.661,3.665,3.66,1.96
0.781,0.742,0.874,0.843,0.843,3.655,3.661,3.661,3.655,1.961
0.772,0.774,0.696,0.727,0.725,3.655,3.661,3.661,3.66,1.961
0.777,0.742,0.873,0.838,0.843,3.655,3.66,3.661,3.655,1.961
0.772,0.774,0.696,0.73,0.725,3.655,3.661,3.661,3.655,1.961
0.777,0.742,0.873,0.835,0.838,3.66,3.661,3.661,3.66,1.961
0.777,0.778,0.7,0.734,0.729,3.655,3.661,3.66,3.66,1.96
0.772,0.733,0.869,0.835,0.838,3.656,3.661,3.66,3.66,1.96
0.781,0.791,0.704,0.734,0.726,3.655,3.661,3.66,3.66,1.96
0.769,0.733,0.864,0.834,0.838,3.659,3.661,3.657,3.659,1.96
0.777,0.795,0.705,0.735,0.725,3.655,3.661,3.657,3.664,1.96
0.781,0.72,0.864,0.834,0.843,3.656,3.661,3.661,3.659,1.961
0.777,0.795,0.705,0.735,0.721,3.655,3.661,3.661,3.659,1.961
0.777,0.725,0.864,0.834,0.847,3.659,3.661,3.657,3.66,1.96
0.777,0.803,0.709,0.735,0.716,3.659,3.661,3.657,3.66,1.96
0.777,0.721,0.864,0.834,0.847,3.656,3.661,3.657,3.664,1.961
0.773,0.803,0.705,0.735,0.721,3.659,3.661,3.657,3.66,1.96
0.781,0.717,0.864,0.835,0.843,3.656,3.661,3.657,3.66,1.961
0.773,0.833,0.704,0.735,0.721,3.66,3.661,3.657,3.66,1.961
0.776,0.691,0.865,0.835,0.847,3.66,3.661,3.657,3.659,1.961
0.8,0.837,0.704,0.734,0.716,2.019,3.657,3.661,3.66,1.961
0.745,0.686,0.865,0.834,0.847,3.659,3.657,3.66,3.659,1.961
0.839,0.842,0.705,0.735,0.716,3.659,3.661,3.657,3.66,1.961
0.728,0.687,0.864,0.834,0.847,3.659,3.656,3.657,3.66,1.96
0.84,0.855,0.705,0.735,0.716,3.659,3.661,3.661,3.659,1.96
0.727,0.674,0.863,0.83,0.847,2.027,3.657,3.657,3.66,1.957
0.793,0.846,0.706,0.735,0.716,2.027,3.661,3.657,3.66,1.96
0.77,0.678,0.863,0.834,0.847,3.656,3.657,3.657,3.656,1.961
0.772,0.842,0.706,0.736,0.721,2.032,3.657,3.661,3.66,1.961
0.813,0.691,0.863,0.833,0.843,2.023,3.661,3.661,3.655,1.961
0.745,0.851,0.706,0.736,0.721,2.027,3.66,3.657,3.656,1.96
0.828,0.699,0.862,0.834,0.847,2.023,3.657,3.657,3.66,1.961
0.735,0.817,0.703,0.735,0.716,2.018,3.657,3.66,3.66,1.96
0.785,0.707,0.866,0.834,0.847,3.66,3.657,3.661,3.66,1.961
0.787,0.817,0.706,0.735,0.716,2.023,3.657,3.661,3.656,1.961
0.758,0.703,0.867,0.83,0.847,3.66,3.657,3.661,3.656,1.961
0.831,0.83,0.703,0.735,0.716,3.659,3.657,3.661,3.66,1.961
0.732,0.724,0.867,0.834,0.847,3.655,3.656,3.657,3.656,1.961
0.806,0.796,0.703,0.735,0.716,3.66,3.657,3.66,3.656,1.961
0.752,0.758,0.866,0.834,0.847,2.01,3.657,3.661,3.656,1.96
0.78,0.78,0.702,0.735,0.716,3.659,3.656,3.661,3.656,1.961
0.8,0.749,0.866,0.834,0.847,2.01,3.66,3.661,3.656,1.961
0.749,0.793,0.703,0.731,0.716,3.659,3.661,3.66,3.656,1.961
0.828,0.766,0.87,0.838,0.847,3.655,3.657,3.661,3.655,1.961
0.739,0.776,0.699,0.731,0.716,3.659,3.661,3.661,3.66,1.961
0.781,0.778,0.869,0.837,0.848,3.66,3.657,3.662,3.655,1.96
0.791,0.776,0.7,0.731,0.715,3.66,3.657,3.661,3.656,1.961
0.754,0.778,0.864,0.838,0.848,3.66,3.656,3.661,3.66,1.961
0.823,0.75,0.705,0.731,0.715,2.023,3.656,3.661,3.656,1.961
0.744,0.783,0.865,0.838,0.848,3.656,3.657,3.661,3.656,1.961
0.78,0.776,0.704,0.73,0.716,2.011,3.657,3.661,3.655,1.961
0.791,0.783,0.866,0.839,0.847,2.023,3.657,3.657,3.655,1.961
0.763,0.771,0.703,0.73,0.72,3.655,3.661,3.661,3.656,1.961
0.822,0.774,0.866,0.839,0.843,3.66,3.656,3.661,3.656,1.961
0.74,0.754,0.703,0.729,0.72,3.66,3.656,3.661,3.656,1.961
0.81,0.809,0.866,0.839,0.843,3.66,3.657,3.661,3.656,1.961
0.762,0.75,0.702,0.73,0.721,3.66,3.656,3.662,3.656,1.96
0.797,0.779,0.868,0.838,0.843,3.659,3.656,3.661,3.66,1.961
0.771,0.763,0.701,0.73,0.721,3.664,3.661,3.661,3.656,1.961
0.771,0.787,0.868,0.838,0.843,3.664,3.661,3.661,3.659,1.961
0.793,0.771,0.702,0.727,0.725,3.655,3.656,3.662,3.656,1.961
0.778,0.765,0.868,0.842,0.838,3.659,3.656,3.661,3.655,1.961
0.762,0.771,0.702,0.727,0.725,3.656,3.66,3.661,3.656,1.961
0.819,0.788,0.871,0.842,0.838,3.66,3.656,3.661,3.66,1.961
0.752,0.776,0.698,0.727,0.725,3.66,3.656,3.662,3.66,1.96
0.776,0.757,0.87,0.843,0.838,3.659,3.656,3.662,3.66,1.961
0.801,0.763,0.698,0.727,0.725,2.023,3.657,3.661,3.659,1.961
0.753,0.769,0.87,0.842,0.838,3.66,3.656,3.661,3.656,1.961
0.793,0.794,0.698,0.727,0.725,2.028,3.66,3.661,3.655,1.96
0.778,0.769,0.871,0.843,0.843,2.027,3.656,3.661,3.656,1.961
0.759,0.793,0.697,0.727,0.721,3.66,3.656,3.661,3.66,1.961
0.839,0.774,0.872,0.843,0.846,3.66,3.656,3.657,3.656,1.961
0.702,0.794,0.698,0.727,0.717,3.66,3.656,3.657,3.655,1.961
0.862,0.77,0.871,0.843,0.846,3.66,3.656,3.661,3.66,1.961
0.692,0.755,0.698,0.722,0.717,3.66,3.656,3.662,3.655,1.961
0.815,0.774,0.871,0.846,0.851,2.015,3.656,3.662,3.656,1.961
0.734,0.793,0.698,0.722,0.712,3.66,3.657,3.661,3.656,1.961
0.794,0.774,0.871,0.846,0.855,3.656,3.66,3.661,3.656,1.961
0.76,0.798,0.698,0.723,0.708,3.66,3.657,3.661,3.656,1.961
0.772,0.774,0.871,0.845,0.863,3.66,3.657,3.661,3.656,1.96
0.772,0.794,0.698,0.723,0.7,3.66,3.656,3.661,3.655,1.961
0.777,0.774,0.871,0.846,0.868,3.66,3.66,3.661,3.66,1.961
0.764,0.798,0.698,0.722,0.696,3.655,3.657,3.662,3.659,1.961
0.777,0.734,0.871,0.847,0.872,2.01,3.657,3.662,3.659,1.961
0.768,0.838,0.698,0.718,0.696,3.656,3.66,3.662,3.655,1.961
0.781,0.734,0.871,0.852,0.872,3.656,3.656,3.662,3.656,1.961
0.755,0.838,0.694,0.717,0.691,3.656,3.656,3.661,3.66,1.961
0.786,0.734,0.876,0.848,0.877,3.66,3.656,3.661,3.66,1.96
0.751,0.838,0.689,0.721,0.687,3.655,3.656,3.662,3.66,1.961
0.789,0.734,0.88,0.847,0.881,3.66,3.656,3.661,3.655,1.961
0.76,0.838,0.69,0.722,0.686,3.659,3.656,3.661,3.66,1.961
0.776,0.734,0.88,0.847,0.877,3.655,3.656,3.661,3.656,1.961
0.769,0.838,0.685,0.721,0.686,3.66,3.656,3.661,3.655,1.961
0.771,0.734,0.884,0.848,0.877,3.66,3.656,3.661,3.656,1.961
0.773,0.838,0.684,0.717,0.686,2.006,3.656,3.661,3.656,1.961
0.763,0.734,0.881,0.852,0.877,3.66,3.656,3.661,3.656,1.96
0.773,0.843,0.683,0.716,0.686,3.66,3.657,3.661,3.655,1.961
0.764,0.729,0.882,0.853,0.877,3.656,3.656,3.657,3.655,1.961
0.773,0.847,0.688,0.716,0.687,3.656,3.656,3.661,3.656,1.961
0.768,0.73,0.877,0.849,0.881,3.655,3.656,3.661,3.655,1.961
0.769,0.847,0.691,0.72,0.682,3.659,3.656,3.661,3.656,1.96
0.776,0.729,0.874,0.849,0.882,3.66,3.656,3.662,3.656,1.96
0.765,0.848,0.695,0.716,0.682,3.66,3.652,3.661,3.655,1.961
0.776,0.724,0.874,0.852,0.885,2.027,3.652,3.661,3.66,1.961
0.809,0.852,0.696,0.717,0.682,3.655,3.656,3.662,3.656,1.961
0.728,0.72,0.869,0.848,0.882,3.66,3.657,3.661,3.656,1.961
0.845,0.857,0.699,0.717,0.686,3.656,3.656,3.661,3.656,1.961
0.7,0.72,0.869,0.851,0.877,3.66,3.66,3.661,3.656,1.961
0.815,0.857,0.7,0.717,0.686,3.656,3.656,3.661,3.655,1.961
0.73,0.72,0.868,0.852,0.877,3.66,3.656,3.661,3.656,1.961
0.793,0.857,0.696,0.718,0.69,3.66,3.656,3.661,3.655,1.96
0.774,0.72,0.869,0.851,0.874,3.655,3.657,3.661,3.655,1.96
0.763,0.857,0.701,0.718,0.689,3.659,3.656,3.661,3.655,1.961
0.81,0.719,0.864,0.847,0.874,3.659,3.656,3.661,3.656,1.961
0.74,0.857,0.705,0.718,0.69,3.659,3.656,3.661,3.656,1.961
0.793,0.719,0.864,0.851,0.874,3.659,3.656,3.661,3.656,1.96
0.765,0.857,0.705,0.718,0.694,3.66,3.661,3.665,3.655,1.961
0.771,0.72,0.86,0.851,0.869,3.66,3.66,3.661,3.66,1.96
0.813,0.857,0.708,0.718,0.695,3.655,3.656,3.665,3.66,1.961
0.728,0.72,0.856,0.851,0.869,3.659,3.656,3.665,3.656,1.961
0.844,0.857,0.713,0.713,0.695,3.66,3.657,3.665,3.655,1.961
0.693,0.72,0.852,0.856,0.869,3.659,3.656,3.666,3.656,1.961
0.862,0.857,0.718,0.713,0.695,3.66,3.656,3.661,3.66,1.961
0.696,0.72,0.851,0.856,0.869,3.664,3.66,3.665,3.656,1.96
0.803,0.858,0.718,0.713,0.694,3.66,3.656,3.666,3.656,1.96
0.743,0.719,0.851,0.856,0.874,3.66,3.656,3.661,3.66,1.961
0.789,0.857,0.719,0.712,0.69,3.66,3.656,3.661,3.656,1.961
0.764,0.719,0.851,0.852,0.874,3.66,3.656,3.665,3.659,1.961
0.776,0.854,0.719,0.717,0.694,3.66,3.657,3.665,3.66,1.961
0.774,0.722,0.85,0.852,0.869,3.66,3.657,3.661,3.66,1.961
0.763,0.854,0.718,0.712,0.698,3.659,3.656,3.661,3.659,1.961
0.781,0.722,0.851,0.852,0.869,3.664,3.656,3.661,3.66,1.961
0.76,0.854,0.719,0.717,0.695,3.66,3.66,3.661,3.66,1.961
0.777,0.723,0.85,0.852,0.869,3.659,3.657,3.662,3.656,1.96
0.76,0.854,0.72,0.712,0.698,3.66,3.661,3.661,3.66,1.961
0.781,0.722,0.853,0.857,0.865,3.66,3.657,3.661,3.66,1.961
0.764,0.854,0.715,0.708,0.702,3.656,3.66,3.661,3.659,1.961
0.778,0.722,0.854,0.86,0.866,3.659,3.656,3.661,3.656,1.961
0.768,0.854,0.715,0.704,0.702,3.655,3.66,3.661,3.659,1.961
0.781,0.722,0.854,0.861,0.861,3.659,3.656,3.661,3.656,1.961
0.755,0.854,0.714,0.704,0.703,3.656,3.656,3.661,3.66,1.961
0.785,0.719,0.855,0.866,0.861,3.659,3.656,3.665,3.656,1.961
0.756,0.853,0.714,0.703,0.702,3.656,3.661,3.662,3.656,1.96
0.777,0.72,0.855,0.861,0.861,3.66,3.657,3.661,3.656,1.961
0.769,0.853,0.714,0.708,0.706,3.659,3.657,3.661,3.656,1.961
0.768,0.72,0.855,0.86,0.858,3.655,3.66,3.665,3.66,1.961
0.781,0.857,0.714,0.708,0.707,3.659,3.656,3.665,3.656,1.961
0.755,0.72,0.855,0.861,0.858,3.659,3.656,3.661,3.656,1.961
0.781,0.857,0.714,0.708,0.706,3.655,3.657,3.662,3.656,1.961
0.756,0.715,0.855,0.857,0.859,3.656,3.656,3.661,3.656,1.961
0.781,0.858,0.714,0.712,0.705,3.656,3.657,3.661,3.656,1.961
0.755,0.719,0.855,0.857,0.86,3.655,3.657,3.662,3.656,1.961
0.786,0.854,0.715,0.712,0.705,3.659,3.661,3.661,3.66,1.961
0.747,0.719,0.858,0.857,0.863,3.659,3.656,3.662,3.656,1.962
0.798,0.854,0.71,0.712,0.701,3.656,3.661,3.661,3.656,1.961
0.747,0.719,0.859,0.857,0.863,3.659,3.66,3.661,3.66,1.961
0.786,0.853,0.711,0.708,0.701,3.659,3.656,3.661,3.656,1.961
0.751,0.719,0.862,0.86,0.862,3.656,3.656,3.661,3.656,1.961
0.794,0.853,0.706,0.708,0.702,3.655,3.66,3.661,3.656,1.961
0.747,0.715,0.863,0.861,0.862,3.659,3.657,3.661,3.655,1.961
0.789,0.857,0.706,0.707,0.706,3.656,3.661,3.661,3.656,1.961
0.752,0.716,0.863,0.861,0.862,3.659,3.661,3.662,3.656,1.961
0.785,0.857,0.707,0.704,0.706,3.659,3.661,3.661,3.656,1.961
0.761,0.715,0.862,0.866,0.858,3.655,3.657,3.661,3.656,1.961
0.776,0.858,0.706,0.703,0.71,3.656,3.656,3.661,3.656,1.961
0.77,0.714,0.863,0.866,0.858,3.656,3.661,3.657,3.656,1.962
