2m_0deg,2m_22deg,2m_45deg,2m_67deg,2m_90deg,1m_90deg,1m_67deg,1m_45deg,1m_22deg,1m_0deg
1.979,3.672,2.956,3.61,3.669,1.009,0.884,0.92,0.968,0.987
1.98,3.673,2.953,3.612,3.672,1.01,0.885,0.92,0.968,0.987
1.98,3.671,2.924,3.61,3.669,1.008,0.885,0.92,0.968,0.987
1.981,3.673,2.954,3.61,3.672,1.01,0.885,0.921,0.968,0.986
1.98,3.67,2.953,3.608,3.669,1.012,0.885,0.92,0.969,0.987
1.981,3.672,2.941,3.611,3.672,1.011,0.887,0.921,0.971,0.987
1.979,3.671,2.954,3.607,3.672,1.01,0.887,0.921,0.968,0.987
1.98,3.673,2.961,3.609,3.672,1.01,0.879,0.923,0.97,0.986
1.981,3.671,2.961,3.609,3.67,1.01,0.869,0.925,0.968,0.985
1.98,3.677,2.96,3.611,3.673,1.009,0.881,0.924,0.971,0.986
1.98,3.672,2.96,3.609,3.673,1.008,0.878,0.924,0.968,0.987
1.98,3.673,2.955,3.61,3.672,1.01,0.878,0.925,0.967,0.986
1.98,3.671,2.955,3.609,3.67,1.009,0.878,0.924,0.968,0.986
1.98,3.673,2.951,3.611,3.673,1.009,0.884,0.924,0.967,0.987
1.979,3.671,2.943,3.608,3.671,1.008,0.884,0.923,0.967,0.987
1.98,3.671,2.944,3.612,3.67,1.009,0.89,0.923,0.968,0.987
1.982,3.67,2.938,3.609,3.672,1.009,0.882,0.921,0.969,0.987
1.981,3.671,2.942,3.61,3.672,1.009,0.878,0.92,0.968,0.987
1.979,3.674,2.943,3.609,3.669,1.011,0.892,0.923,0.968,0.986
1.981,3.67,2.947,3.611,3.67,1.01,0.879,0.924,0.969,0.987
1.98,3.673,2.949,3.608,3.67,1.011,0.888,0.924,0.969,0.987
1.978,3.673,2.951,3.61,3.671,1.01,0.888,0.924,0.968,0.987
1.979,3.674,2.948,3.61,3.671,1.011,0.881,0.924,0.968,0.987
1.98,3.67,2.947,3.608,3.672,1.01,0.889,0.924,0.968,0.987
1.979,3.673,2.947,3.611,3.668,1.01,0.874,0.924,0.968,0.986
1.979,3.671,2.947,3.609,3.669,1.011,0.875,0.923,0.968,0.986
1.978,3.675,2.945,3.609,3.673,1.01,0.875,0.923,0.969,0.987
1.978,3.671,2.948,3.612,3.67,1.01,0.877,0.922,0.967,0.986
1.978,3.672,1.954,3.611,3.672,1.009,0.875,0.922,0.968,0.986
1.98,3.671,1.953,3.609,3.674,1.01,0.877,0.922,0.968,0.985
1.981,3.673,1.951,3.613,3.674,1.009,0.884,0.923,0.969,0.987
1.98,3.67,1.951,3.61,3.672,1.009,0.894,0.921,0.969,0.985
1.981,3.672,1.95,3.609,3.673,1.011,0.883,0.922,0.971,0.986
1.98,3.671,1.951,3.607,3.671,1.01,0.881,0.922,0.969,0.986
1.979,3.673,1.952,3.61,3.672,1.009,0.881,0.922,0.969,0.986
1.98,3.671,1.951,3.606,3.669,1.009,0.881,0.923,0.968,0.986
1.98,3.672,1.959,3.61,3.67,1.01,0.881,0.922,0.968,0.987
1.98,3.67,1.952,3.607,3.671,1.008,0.883,0.921,0.967,0.986
1.98,3.672,1.947,3.609,3.671,1.008,0.882,0.92,0.969,0.985
1.979,3.67,1.942,3.608,3.673,1.009,0.884,0.92,0.968,0.986
1.98,3.67,1.946,3.609,3.671,1.008,0.884,0.921,0.968,0.985
1.979,3.671,2.946,3.607,3.673,1.008,0.886,0.919,0.968,0.987
1.98,3.672,2.945,3.612,3.67,1.008,0.883,0.919,0.968,0.986
1.98,3.672,2.944,3.609,3.673,1.007,0.88,0.92,0.968,0.987
1.979,3.672,2.948,3.611,2.017,1.008,0.878,0.92,0.968,0.986
1.981,3.675,2.959,3.61,2.022,1.009,0.873,0.921,0.967,0.986
1.98,3.674,2.957,3.613,2.03,1.01,0.866,0.921,0.969,0.987
1.98,3.673,2.957,3.61,2.028,1.009,0.868,0.92,0.968,0.986
1.979,3.674,2.955,3.612,2.019,1.01,0.866,0.921,0.968,0.986
1.979,3.674,2.954,3.611,2.022,1.01,0.868,0.923,0.967,0.986
1.98,3.675,2.953,3.612,2.017,1.009,0.87,0.921,0.968,0.985
1.979,3.673,2.953,3.61,3.67,1.01,0.874,0.921,0.968,0.986
1.978,3.673,2.949,3.612,3.669,1.008,0.875,0.921,0.968,0.987
1.979,3.673,2.952,3.609,3.669,1.008,0.889,0.922,0.968,0.986
1.98,3.669,2.95,3.607,3.671,1.012,0.885,0.922,0.97,0.986
1.98,3.672,2.947,3.609,3.672,1.007,0.873,0.922,0.968,0.986
1.979,3.672,2.946,3.611,3.669,1.003,0.904,0.921,0.969,0.985
1.979,3.673,2.946,3.611,3.669,1.001,0.9,0.925,0.969,0.986
1.979,3.672,2.951,3.609,3.672,1.005,0.902,0.923,0.968,0.986
1.979,3.676,2.971,3.606,3.67,1.007,0.907,0.924,0.968,0.986
1.979,3.67,2.955,3.608,3.672,1.005,0.877,0.923,0.968,0.986
1.98,3.674,2.955,3.607,3.669,1.007,0.905,0.922,0.968,0.986
1.979,3.67,2.957,3.612,3.672,1.008,0.905,0.921,0.968,0.986
1.98,3.671,2.958,3.612,3.672,1.01,0.884,0.922,0.97,0.986
1.979,3.674,2.955,3.609,3.671,1.009,0.888,0.921,0.969,0.986
1.981,3.671,2.949,3.614,3.669,1.009,0.882,0.922,0.969,0.987
1.98,3.673,2.947,3.61,3.668,1.009,0.889,0.921,0.968,0.987
1.979,3.671,2.947,3.612,3.67,1.007,0.886,0.922,0.968,0.987
1.981,3.675,2.947,3.61,3.668,1.007,0.891,0.922,0.968,0.986
1.98,3.672,2.944,3.614,3.671,1.006,0.889,0.922,0.968,0.986
1.98,3.675,2.946,3.614,3.669,1.007,0.865,0.923,0.968,0.986
1.979,3.674,2.947,3.612,2.026,1.007,0.884,0.924,0.968,0.986
1.979,3.674,2.947,3.613,3.668,1.008,0.883,0.923,0.968,0.987
1.979,3.672,2.943,3.611,3.671,1.01,0.883,0.922,0.967,0.986
1.979,3.677,2.944,3.61,3.669,1.009,0.888,0.922,0.967,0.986
1.979,3.672,2.941,3.61,3.672,1.01,0.888,0.921,0.968,0.986
1.98,3.673,2.939,3.61,3.669,1.01,0.887,0.921,0.968,0.987
1.98,3.672,2.936,3.61,3.669,1.01,0.885,0.92,0.969,0.986
1.979,3.672,2.936,3.612,3.669,1.009,0.875,0.92,0.968,0.986
1.981,3.669,2.935,3.61,3.668,1.009,0.886,0.919,0.968,0.985
1.979,3.671,2.936,3.613,3.672,1.01,0.884,0.918,0.967,0.987
1.981,3.671,2.941,3.612,3.65,1.01,0.877,0.918,0.969,0.986
1.979,3.672,2.946,3.613,3.651,1.009,0.875,0.919,0.968,0.987
1.979,3.672,2.949,3.612,2.011,1.01,0.878,0.918,0.968,0.986
1.977,3.671,2.95,3.614,3.67,1.009,0.894,0.919,0.968,0.986
1.981,3.673,2.952,3.612,3.669,1.009,0.88,0.918,0.968,0.986
1.98,3.673,2.955,3.614,2.031,1.01,0.878,0.92,0.968,0.986
1.979,3.673,2.954,3.61,2.032,1.007,0.877,0.921,0.967,0.986
1.979,3.672,2.955,3.612,3.668,1.01,0.888,0.92,0.968,0.987
1.978,3.674,2.955,3.611,3.672,1.009,0.884,0.922,0.969,0.985
1.979,3.672,2.955,3.611,3.671,1.009,0.875,0.921,0.968,0.986
1.98,3.673,2.953,3.61,3.67,1.009,0.876,0.921,0.968,0.986
1.981,3.67,2.954,3.612,3.669,1.009,0.881,0.919,0.968,0.985
1.979,3.67,2.952,3.611,3.671,1.01,0.875,0.919,0.968,0.987
1.98,3.669,2.949,3.614,3.671,1.011,0.888,0.92,0.969,0.986
1.98,3.672,2.95,3.611,3.672,1.01,0.889,0.919,0.968,0.987
1.982,3.673,2.95,3.613,3.669,1.01,0.891,0.919,0.969,0.986
1.98,3.671,2.949,3.61,3.67,1.01,0.89,0.92,0.969,0.987
1.981,3.672,2.951,3.613,3.656,1.01,0.892,0.921,0.969,0.986
1.98,3.671,2.95,3.611,3.657,1.009,0.894,0.92,0.969,0.986
1.979,3.673,2.953,3.613,2.028,1.007,0.894,0.92,0.968,0.986
1.977,3.67,2.956,3.612,2.044,1.008,0.879,0.921,0.967,0.986
1.98,3.672,2.953,3.61,2.034,1.008,0.875,0.922,0.967,0.986
1.978,3.67,2.954,3.613,2.031,1.007,0.874,0.923,0.967,0.987
1.98,3.67,2.955,3.611,2.029,1.006,0.874,0.923,0.968,0.987
1.98,3.671,2.953,3.612,2.03,1.007,0.874,0.923,0.968,0.986
1.98,3.672,2.954,3.609,2.029,1.008,0.905,0.922,0.969,0.986
1.979,3.671,2.953,3.611,2.032,1.009,0.906,0.922,0.97,0.986
1.98,3.671,2.952,3.608,3.657,1.009,0.874,0.92,0.969,0.987
1.979,3.672,2.953,3.614,3.668,1.009,0.909,0.92,0.968,0.987
1.979,3.671,2.951,3.611,3.671,1.01,0.871,0.919,0.969,0.986
1.98,3.673,2.95,3.612,3.671,1.01,0.869,0.921,0.969,0.986
1.978,3.671,2.951,3.609,3.672,1.01,0.867,0.922,0.968,0.986
1.98,3.675,2.951,3.612,3.672,1.01,0.867,0.923,0.968,0.986
1.98,3.671,2.954,3.614,3.669,1.011,0.865,0.922,0.968,0.986
1.98,3.673,2.952,3.611,3.668,0.871,0.864,0.923,0.969,0.986
1.98,3.672,2.955,3.611,3.669,1.011,0.864,0.923,0.968,0.986
1.979,3.672,2.954,3.613,3.668,1.009,0.874,0.923,0.968,0.985
1.979,3.671,2.957,3.609,3.668,1.011,0.875,0.923,0.968,0.985
1.98,3.672,2.958,3.615,3.67,1.008,0.88,0.923,0.968,0.986
1.978,3.672,2.956,3.612,3.669,1.01,0.875,0.923,0.968,0.986
1.978,3.674,2.954,3.612,3.67,1.01,0.878,0.921,0.967,0.987
1.979,3.671,2.951,3.611,3.669,1.009,0.877,0.92,0.968,0.986
1.977,3.672,2.945,3.614,3.672,1.009,0.878,0.921,0.968,0.986
1.979,3.672,2.947,3.611,3.671,0.916,0.874,0.923,0.97,0.987
1.979,3.672,2.949,3.614,3.675,0.917,0.878,0.922,0.968,0.986
1.979,3.67,2.95,3.61,3.67,1.01,0.882,0.923,0.968,0.986
1.979,3.672,2.947,3.615,3.671,1.01,0.861,0.921,0.968,0.987
1.98,3.669,2.948,3.614,3.672,1.009,0.862,0.921,0.968,0.986
1.98,3.669,2.949,3.614,3.67,1.009,0.888,0.923,0.967,0.986
1.979,3.671,2.948,3.614,3.67,1.01,0.871,0.921,0.968,0.986
1.978,3.671,2.946,3.616,3.67,1.007,3.673,0.92,0.968,0.985
1.98,3.672,2.943,3.614,3.67,1.008,3.672,0.92,0.968,0.986
1.979,3.671,2.942,3.614,3.671,1.006,3.674,0.922,0.969,0.987
1.981,3.672,2.947,3.613,3.675,1.007,3.672,0.921,0.968,0.987
1.979,3.67,2.947,3.615,3.67,1.007,3.675,0.921,0.968,0.987
1.979,3.673,2.952,3.612,3.675,1.006,3.671,0.922,0.968,0.987
1.98,3.67,2.958,3.613,3.673,1.007,0.879,0.923,0.967,0.987
1.979,3.673,2.963,3.612,3.672,1.006,0.87,0.921,0.969,0.987
1.979,3.672,2.962,3.61,3.669,1.005,0.874,0.923,0.967,0.987
1.978,3.672,2.963,3.61,3.673,1.005,0.875,0.921,0.968,0.987
1.98,3.67,2.965,3.612,3.673,1.007,0.922,0.924,0.968,0.987
1.978,3.672,2.963,3.611,3.673,1.005,0.935,0.922,0.968,0.986
1.979,3.672,2.963,3.611,3.669,1.005,0.945,0.923,0.969,0.987
1.978,3.675,2.952,3.609,3.648,1.005,0.919,0.921,0.968,0.987
1.979,3.673,2.954,3.612,3.653,1.008,0.931,0.922,0.968,0.986
1.979,3.673,2.954,3.609,3.653,1.006,0.923,0.922,0.968,0.986
1.978,3.67,2.962,3.611,3.67,1.008,0.882,0.923,0.967,0.987
1.98,3.674,2.955,3.61,3.671,1.008,0.889,0.922,0.968,0.986
1.98,3.67,2.954,3.612,3.67,1.01,0.887,0.923,0.969,0.987
1.98,3.671,2.956,3.611,3.669,1.008,3.673,0.923,0.968,0.986
1.979,3.669,2.958,3.613,3.669,1.008,0.893,0.923,0.968,0.986
1.979,3.67,2.954,3.61,3.67,1.008,0.896,0.923,0.968,0.987
1.979,3.669,2.954,3.611,3.672,1.006,0.89,0.922,0.968,0.986
1.979,3.67,2.958,3.61,3.672,1.006,0.89,0.921,0.967,0.987
1.98,3.671,2.959,3.613,3.673,1.006,0.89,0.92,0.967,0.987
1.978,3.67,2.961,3.613,3.671,1.008,0.887,0.921,0.968,0.987
1.98,3.669,2.959,3.614,3.674,1.007,0.873,0.922,0.969,0.987
1.98,3.669,2.958,3.611,3.67,1.008,0.87,0.921,0.968,0.989
1.978,3.668,2.952,3.612,3.673,1.008,0.882,0.922,0.968,0.987
1.979,3.668,2.948,3.612,3.671,1.008,0.88,0.923,0.968,0.987
1.98,3.67,2.949,3.608,3.672,1.007,0.89,0.922,0.969,0.986
1.98,3.668,2.948,3.611,3.669,1.007,0.899,0.925,0.968,0.988
1.98,3.671,2.944,3.61,3.672,1.01,3.672,0.921,0.969,0.986
1.98,3.672,2.954,3.61,3.67,1.01,0.901,0.92,0.968,0.987
1.98,3.674,2.957,3.61,3.676,1.011,3.673,0.92,0.967,0.987
1.979,3.671,2.962,3.614,3.67,1.01,3.675,0.921,0.968,0.987
1.979,3.673,2.957,3.612,3.672,1.011,3.674,0.921,0.968,0.987
1.98,3.672,2.956,3.615,3.671,1.011,3.672,0.921,0.968,0.987
1.979,3.671,2.958,3.612,3.673,1.01,3.671,0.923,0.969,0.987
1.979,3.672,2.958,3.613,3.671,1.008,3.672,0.922,0.968,0.988
1.981,3.669,2.955,3.613,3.672,1.009,3.672,0.923,0.968,0.987
1.979,3.67,2.956,3.613,3.671,1.011,3.67,0.924,0.968,0.987
1.979,3.671,2.955,3.612,3.674,1.008,0.881,0.924,0.967,0.987
1.98,3.671,2.953,3.608,3.669,1.009,3.67,0.925,0.968,0.987
1.98,3.669,2.954,3.609,3.671,1.008,3.671,0.923,0.968,0.987
1.98,3.671,2.949,3.608,3.669,1.008,3.669,0.922,0.967,0.987
1.979,3.669,2.948,3.61,3.673,1.007,3.671,0.92,0.969,0.986
1.98,3.673,2.947,3.609,3.673,1.008,3.673,0.92,0.968,0.987
1.979,3.67,2.949,3.611,3.671,1.007,3.671,0.92,0.967,0.986
1.98,3.674,2.949,3.611,3.671,1.008,3.671,0.92,0.968,0.987
