1m_90deg,1m_67deg,1m_45deg,1m_22deg,1m_0deg,2m_0deg,2m_22deg,2m_45deg,2m_67deg,2m_90deg
1.01,1.05,1.05,0.98,0.98,1.99,1.99,1.95,1.95,2.02
1.01,1.05,1.05,0.98,0.98,1.99,1.99,1.95,1.94,2.02
1.01,1.05,1.05,0.98,0.98,1.99,1.99,1.96,1.93,2.02
1.01,1.05,1.05,0.98,0.98,1.99,1.99,1.96,1.94,2.02
1.01,1.05,1.05,0.98,0.98,1.98,1.99,1.96,1.94,2.02
1.01,1.05,1.05,0.98,0.98,1.98,2.0,1.96,3.22,1.9
1.01,1.05,1.05,0.98,0.98,1.98,1.99,1.96,1.95,1.9
1.01,1.05,1.05,0.98,0.98,1.98,1.99,1.96,1.93,1.92
1.01,1.05,1.05,0.98,0.98,1.99,1.99,1.96,1.93,1.9
1.01,1.05,1.05,0.98,0.98,1.98,1.99,1.95,3.22,1.91
1.01,1.05,1.05,0.98,0.98,1.99,1.99,1.96,1.93,1.9
1.01,1.05,1.05,0.98,0.98,1.99,2.0,1.96,1.93,1.9
1.01,1.05,1.05,0.98,0.98,1.98,1.99,1.95,1.93,1.9
1.01,1.05,1.05,0.98,0.98,1.98,1.99,1.95,1.93,1.9
1.01,1.05,1.05,0.98,0.98,1.99,2.0,1.96,1.92,1.9
1.01,1.05,1.05,0.98,0.98,1.99,1.99,1.95,1.93,2.02
1.01,1.05,1.05,0.98,0.98,1.99,1.99,1.96,1.94,2.02
1.01,1.05,1.05,0.98,0.98,1.99,1.99,1.96,1.93,1.9
1.01,1.05,1.05,0.98,0.98,1.99,1.99,1.96,1.93,2.02
1.01,1.05,1.05,0.98,0.98,1.99,1.99,1.96,1.93,2.02
1.01,1.05,1.05,0.98,0.98,1.98,1.99,1.96,1.93,2.03
1.01,1.05,1.05,0.98,0.98,1.99,1.99,1.95,1.93,1.91
1.01,1.05,1.05,0.98,0.98,1.98,1.99,1.96,1.94,2.02
1.01,1.05,1.05,0.98,0.98,1.99,1.99,1.95,1.94,2.02
1.01,1.05,1.05,0.98,0.98,1.99,1.99,1.96,1.93,2.02
1.01,1.05,1.05,0.98,0.98,1.98,1.99,1.96,1.92,2.02
1.01,1.05,1.05,0.98,0.98,1.99,1.99,1.96,1.93,2.02
1.01,1.05,1.05,0.98,0.98,1.98,2.0,1.96,1.93,2.02
1.01,1.05,1.05,0.98,0.98,1.98,1.98,1.96,1.93,2.02
1.01,1.05,1.05,0.98,0.98,1.99,1.99,1.96,1.92,2.02
1.01,1.05,1.05,0.98,0.98,1.99,1.99,1.96,1.93,2.02
1.01,1.05,1.05,0.98,0.98,1.99,1.99,1.96,1.92,2.02
1.01,1.05,1.05,0.98,0.98,1.99,1.99,1.96,1.92,2.02
1.01,1.05,1.05,0.98,0.98,1.99,1.99,1.96,1.92,1.89
1.01,1.05,1.05,0.98,0.98,1.99,1.99,1.96,1.92,2.02
1.01,1.05,1.05,0.98,0.98,1.98,2.0,1.96,1.93,2.02
